코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,과거 PCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(20일대비),높은순서  (비중 30)
A214430,아이쓰리시스템,기계,방위산업,70.43,199,5.25,131,1.98,460,2.06,423,-230.13,709,110.46,666,17.83,152
A001540,안국약품,제약 및 바이오,제약,70.24,200,47.45,606,1.27,350,1.25,267,39.82,563,-127.64,722,26.94,135
A100090,삼강엠앤티,조선,조선기자재,70.23,201,-14.78,707,1.71,428,3.78,644,17.32,386,21.41,446,34.26,118
A069080,웹젠,미디어 및 엔터,게임,70.11,202,8.48,244,3.38,584,2.45,482,9.11,186,8.4,160,-13.27,279
A041510,에스엠,미디어 및 엔터,매니지먼트,70.07,203,10.97,309,1.87,449,2.47,486,26.99,500,54.68,587,13.93,167
A001630,종근당홀딩스,지주사,지주사,70.06,204,8.32,239,0.61,173,1.01,204,21.53,435,6.96,111,-26.32,362
A102120,어보브반도체,반도체 관련장비 및 부품,반도체 설계,70.04,205,14.16,383,1.86,448,2.74,516,25.87,489,16.31,378,9.93,187
A126340,비나텍,전기 및 전자기기,케이블,69.79,206,47.57,607,4.81,657,4.81,706,23.42,466,37.58,545,87.2,63
A053080,원방테크,기계,기계,69.79,206,7.76,221,0.61,173,1.46,309,30.82,527,9.83,197,-21.03,322
A005490,POSCO,철강 및 비철강,제철,69.65,208,3.99,85,0.51,138,0.66,98,7.33,136,9.24,185,-36.37,455
A067170,오텍,기계,기계,69.63,209,17.96,439,0.21,28,1.4,299,52.44,602,18.71,409,-11.2,266
A042520,한스바이오메드,의료기기 및 용품,의료용품,69.59,210,-38.77,707,2.13,482,2.75,517,-5.34,709,-9.24,722,127.85,40
A034590,인천도시가스,유틸리티,도시가스,69.58,211,4.38,101,0.25,43,0.66,98,9.05,184,12.53,282,-34.82,445
A272550,삼양패키징,종이 및 용기,용기 및 포장재,69.26,212,5.67,155,1.09,303,1.35,287,26.21,494,7.41,134,-24.21,339
A069260,휴켐스,화학,기타 화학,69.21,213,11.38,319,1.52,403,1.37,290,9.8,201,9.73,195,-23.72,334
A037710,광주신세계,유통,백화점,69.15,214,4.15,91,2.02,466,0.44,37,6.26,104,5.97,85,-34.31,439
A003120,일성신약,제약 및 바이오,제약,69.13,215,88.07,655,5.99,692,0.67,107,-10.14,709,-88.08,722,54.29,89
A267290,경동도시가스,유틸리티,도시가스,69.12,216,1.98,31,0.13,12,0.4,24,2.77,20,5.8,75,-44.59,543
A033500,동성화인텍,조선,조선기자재,68.93,217,6.34,178,0.94,262,3.34,599,9.85,203,10.56,221,-22.29,329
A348210,넥스틴,반도체 관련장비 및 부품,종합 반도체,68.81,218,36.81,571,11.45,758,13.09,849,50.66,595,30.2,513,152.33,27
A053580,웹케시,IT서비스,소프트웨어,68.72,219,13.3,363,6.2,696,7.05,791,34.7,542,30.94,518,51.66,91
A170900,동아에스티,제약 및 바이오,제약,68.67,220,43.33,596,1.4,375,1.16,248,241.31,692,-40.64,722,25.73,138
A078930,GS,지주사,지주사,68.58,221,2.97,56,0.28,52,0.5,53,1.98,11,2.69,15,-44.81,547
A004990,롯데지주,지주사,지주사,68.57,222,8.76,256,0.47,128,0.68,108,11.27,252,23.49,470,-27.33,376
A090350,노루페인트,건설 및 건축자재,페인트,68.55,223,6,166,0.41,109,0.8,139,13.25,306,8.03,148,-33.83,434
A318020,포인트모바일,IT 장비 및 소재,스마트폰 부품,68.48,224,-53.61,707,9.16,739,5.62,747,51.14,597,68.07,622,297.78,11
A293490,카카오게임즈,IT서비스,소프트웨어,68.36,225,52.54,619,8.15,725,4.18,671,51.95,600,62.15,610,118.23,44
A007810,코리아써키트,IT 장비 및 소재,PCB,68.31,226,30.79,543,0.29,58,0.85,164,10.92,241,24.39,478,-23.75,335
A030000,제일기획,미디어 및 엔터,광고,68.28,227,12.7,352,1.02,284,2.93,550,21.75,441,13.14,297,-10.35,262
A344820,케이씨씨글라스,건설 및 건축자재,창호,68.27,228,8.05,232,1.22,331,0.77,132,10.21,218,15.74,364,-26.89,370
A183190,아세아시멘트,건설 및 건축자재,시멘트 및 레미콘,68.16,229,5.19,130,0.65,189,0.64,93,-659.23,709,5.92,82,-28.06,384
A131970,테스나,반도체 관련장비 및 부품,반도체장비,68.04,230,6.64,189,4.58,649,2.92,548,22.46,450,20.28,434,0.93,208
A012320,경동인베스트,지주사,지주사,68.03,231,4.53,107,0.31,69,0.23,2,6.96,122,5.34,63,-43.33,526
A100030,모바일리더,IT서비스,시스템서비스,68.02,232,14.26,385,3.48,591,1.94,406,-154.65,709,15.89,367,12.49,177
A025900,동화기업,건설 및 건축자재,목재,67.94,233,10.08,293,1.75,438,2.34,464,21.33,433,17.24,393,-8.32,251
A225220,제놀루션,의료기기 및 용품,의료용품,67.94,233,4.26,97,1.44,388,2.14,432,3.23,26,2.23,10,-33.35,429
A263750,펄어비스,미디어 및 엔터,게임,67.92,235,38.37,580,9.31,740,6.36,771,51.45,599,34.23,533,107.14,51
A222800,심텍,IT 장비 및 소재,PCB,67.84,236,3.36,69,0.59,163,2.46,483,27.69,501,7.68,136,-26.56,364
A081000,일진다이아,철강 및 비철강,광물,67.62,237,223.9,688,3.81,612,3.6,629,203.13,687,93.14,658,110.42,47
A145990,삼양사,식음료,식료품,67.49,238,4.62,109,0.33,74,0.57,74,7.8,151,6.26,94,-41.61,511
A272290,이녹스첨단소재,IT 장비 및 소재,스마트폰 부품,67.47,239,28.49,531,1.74,437,2.9,542,14.17,323,12.08,267,-7.38,245
A068270,셀트리온,제약 및 바이오,바이오,67.35,240,95.5,660,20.05,803,11.05,838,50.04,590,48.47,576,193.7,19
A029460,케이씨,반도체 관련장비 및 부품,반도체장비,67.34,241,60.3,629,0.6,170,0.53,58,10.76,237,5.35,64,-30.26,404
A002790,아모레G,지주사,지주사,67.15,242,9.66,283,1.23,339,1.88,392,18.37,397,22.17,460,-14.51,288
A185750,종근당,제약 및 바이오,제약,67.13,243,16.46,423,1.15,318,2.78,524,25.34,484,12.71,286,-10.22,261
A004700,조광피혁,섬유 및 의류,피혁(가죽),67.12,244,18.83,450,3.65,605,1.12,237,21.05,430,22.76,464,-5.83,236
A002240,고려제강,철강 및 비철강,선재(와이어),66.81,245,4.16,92,0.42,112,0.43,34,4.6,55,19.72,427,-39.51,485
A010120,LS ELECTRIC,기계,전력기자재,66.77,246,6.32,177,0.73,214,1.24,264,28.37,506,14.79,343,-25.62,355
A065710,서호전기,운송 및 물류,운송인프라,66.7,247,9.29,267,1.46,390,1.46,309,5.32,77,9.56,191,-29.79,401
A001120,LG상사,일반서비스,무역,66.61,248,5.1,123,0.09,3,0.84,159,4.85,62,5.31,61,-44.37,540
A079940,가비아,IT서비스,인터넷서비스,66.56,249,4.56,108,1.15,318,2.2,439,16.76,370,6.82,108,-28.08,385
A137400,피엔티,IT 장비 및 소재,2차전지,66.53,250,36.82,572,1.28,354,3.6,629,14.75,331,9.26,186,-10.73,264
A020120,키다리스튜디오,IT서비스,소프트웨어,66.48,251,87.5,653,9.09,736,2.49,487,65.34,624,84.67,644,56.52,86
A086900,메디톡스,의료기기 및 용품,의료용품,66.45,252,-159.02,707,8.19,726,3.45,615,5.15,71,-36.1,722,26.35,137
A214150,클래시스,의료기기 및 용품,의료기기,66.37,253,29.38,539,14.32,782,8.45,812,28.59,508,28.71,501,54.84,88
A072990,에이치시티,전기 및 전자기기,전자기기,66.25,254,6.31,176,2.06,469,1.89,397,10.16,213,9.92,200,-26.99,371
A220100,퓨쳐켐,제약 및 바이오,제약,66.2,255,818.31,700,15.53,792,3.36,605,17.33,387,-48.1,722,61.84,80
A009240,한샘,가정용품,가구,65.94,256,17.84,437,1.22,331,4.28,676,33.09,537,25.61,486,1.69,207
A112040,위메이드,미디어 및 엔터,게임,65.92,257,51.49,614,5.74,686,3.73,639,10.6,232,85.61,646,19.13,149
A249420,일동제약,제약 및 바이오,제약,65.61,258,-181.18,707,0.68,202,1.61,343,-7.39,709,-63.48,722,12.57,176
A068760,셀트리온제약,제약 및 바이오,제약,65.58,259,201.27,684,20.83,807,18.9,866,195.65,685,198.03,694,787.75,1
A035720,카카오,IT서비스,인터넷서비스,65.56,260,63.95,634,13.91,778,9.5,824,70.43,629,120.45,669,133.09,35
A091990,셀트리온헬스케어,제약 및 바이오,바이오,65.54,261,-325.84,707,11.76,766,9.7,826,151.75,675,56.62,592,144.9,30
A014820,동원시스템즈,종이 및 용기,용기 및 포장재,65.49,262,8.16,236,1.05,290,2.38,470,22.61,451,12.1,269,-24.21,339
A153710,옵티팜,제약 및 바이오,바이오,65.47,263,-101.83,707,15.52,791,6.33,769,-43.18,709,-45.87,722,319.91,9
A170790,파이오링크,통신,통신장비,65.38,264,13.19,359,2.31,507,1.83,381,23.7,475,13.97,322,-14.3,286
A250000,보라티알,식음료,식료품,65.35,265,31.42,545,2.09,476,2,415,17.18,383,28.56,498,-6.4,241
A039440,에스티아이,반도체 관련장비 및 부품,반도체장비,65.34,266,28.71,534,1.14,316,1.68,359,24.86,480,20.06,431,-12.27,274
A088390,이녹스,IT 장비 및 소재,IT 소재 및 부품,65.3,267,-469.54,707,2.94,556,1.31,281,14.26,327,12.36,277,-11.37,270
A101360,이엔드디,자동차 및 관련부품,기타 자동차부품,65.19,268,-89.07,707,3.97,623,4.8,704,140.25,671,25.53,485,46.13,98
A288330,브릿지바이오테라퓨틱스,제약 및 바이오,바이오,65.13,269,-18.23,707,78,842,4.91,713,-11,709,-16.21,722,218.38,15
A006980,우성사료,식음료,사료,65.11,270,5.42,143,0.28,52,0.66,98,-18.96,709,23.06,467,-28.37,386
A313760,윌링스,에너지,태양광,65.09,271,11.18,318,1.29,358,1.99,414,-10.88,709,-62.09,722,0.33,211
A161390,한국타이어앤테크놀로지,자동차 및 관련부품,타이어,65.05,272,5.12,125,0.98,275,0.86,165,9.46,191,9.22,184,-38.21,475
A348030,모비릭스,IT서비스,시스템서비스,65.03,273,20.85,476,4.08,631,3.09,569,26.78,498,14.89,346,0.27,212
A029780,삼성카드,금융,기타 금융,64.82,274,-1.86,707,1.61,415,0.56,65,7.17,130,6.97,112,-29.33,397
A067080,대화제약,제약 및 바이오,제약,64.76,275,38.99,583,2.16,489,2.9,542,41.53,570,84.43,643,15.44,165
A060720,KH바텍,IT 장비 및 소재,스마트폰 부품,64.69,276,33.02,553,2.79,547,2.71,515,35.89,547,212.57,695,15.91,161
A002390,한독,제약 및 바이오,제약,64.57,277,16.17,421,0.76,222,1.01,204,50.45,591,13.67,314,-25.05,347
A100120,뷰웍스,의료기기 및 용품,의료기기,64.54,278,27.83,527,2.28,504,2.19,437,11.46,259,12.93,292,-18.09,303
A144510,녹십자랩셀,제약 및 바이오,바이오,64.4,279,42.09,591,10.61,750,20.1,867,50.53,593,98.61,659,83.1,65
A078600,대주전자재료,IT 장비 및 소재,IT 소재 및 부품,64.37,280,230.74,689,4.25,636,7.67,803,35.22,545,59.63,603,46.56,96
A011790,SKC,화학,합성수지,64.35,281,21.36,478,1.87,449,2.92,548,33.47,538,21.9,455,-5.45,231
A217270,넵튠,미디어 및 엔터,게임,64.35,281,-82.92,707,40.38,827,2.62,505,-107.98,709,-81.17,722,86.22,64
A004170,신세계,유통,면세점,64.34,283,2.7,46,0.6,170,0.83,151,10.55,230,14.52,336,-39.6,487
A104540,코렌텍,의료기기 및 용품,의료용품,64.33,284,-147.37,707,5.03,664,4.37,682,54.38,609,46.07,570,41.56,104
A065660,안트로젠,제약 및 바이오,바이오,64.22,285,-191.59,707,141.72,852,7.5,798,-59.16,709,-185.03,722,262.47,13
A214610,미코바이오메드,의료기기 및 용품,의료기기,64.22,285,-103.43,707,5.99,692,4.62,698,37.65,552,31.33,521,35.28,116
A097950,CJ제일제당,식음료,식료품,64.21,287,3.04,60,0.28,52,1.24,264,10.41,224,4.69,51,-44.03,536
A140860,파크시스템스,의료기기 및 용품,의료기기,64.14,288,105.46,663,11.68,762,18.72,865,-36.37,709,57.55,598,113.21,46
A122870,와이지엔터테인먼트,미디어 및 엔터,매니지먼트,64.1,289,29.62,540,3.12,571,2.4,471,37.22,551,43.88,562,5.8,197
A278280,천보,반도체 관련장비 및 부품,반도체 부품,64.08,290,79.97,644,11.03,752,7.93,806,48.84,588,56.54,591,58.57,83
A005430,한국공항,운송 및 물류,운송인프라,64.07,291,4.17,93,0.59,163,0.61,87,-6.39,709,-3.59,722,-25.37,351
A136510,쎄미시스코,디스플레이 장비 및 부품,디스플레이 장비,64,292,-35.58,707,13.66,775,12.4,847,-75.41,709,-31.09,722,188.45,21
A307950,현대오토에버,IT서비스,시스템서비스,63.97,293,38.17,578,2.08,474,6.01,757,94.83,650,38.03,548,20.87,147
A105630,한세실업,섬유 및 의류,의류,63.91,294,54.82,622,0.56,155,2.29,457,11.22,250,11.47,250,-26.24,360
A002100,경농,화학,비료 및 농약,63.89,295,23.97,505,1.26,349,1.53,323,3.99,39,20.53,436,-27.21,374
A004450,삼화왕관,종이 및 용기,용기 및 포장재,63.82,296,5.46,146,0.69,206,0.66,98,12.73,291,11.07,233,-39.64,488
A950180,SNK,미디어 및 엔터,게임,63.81,297,13.97,381,5.67,682,1.85,386,-130.29,709,90.24,653,10.85,182
A290520,신도기연,디스플레이 장비 및 부품,디스플레이 부품,63.8,298,179.45,679,2.86,552,2.02,418,14.11,321,-49.11,722,3.86,202
A115310,인포바인,IT서비스,공인인증서,63.76,299,9.51,277,3.69,606,0.8,139,8.4,166,8.68,170,-33.19,425
A078160,메디포스트,제약 및 바이오,바이오,63.71,300,80.66,646,10.5,749,3.8,648,-22.3,709,-136.53,722,68.41,73
A290550,디케이티,IT 장비 및 소재,스마트폰 부품,63.69,301,9.97,291,0.52,141,2.31,460,13.52,311,11.99,263,-30.82,408
A215000,골프존,레저산업,레저,63.65,302,7.73,219,2.11,480,2.96,552,7.83,152,10.59,223,-27.81,382
A003070,코오롱글로벌,건설 및 건축자재,중견건설사,63.51,303,6.07,169,0.14,16,1.21,260,4.67,59,3.14,19,-46.54,568
A125210,아모그린텍,IT 장비 및 소재,스마트폰 부품,63.42,304,40.25,587,2.16,489,5.83,750,142.18,673,178.92,690,31.05,125
A024950,삼천리자전거,레저산업,자전거,63.4,305,8.35,241,1.42,381,2.04,420,6.84,118,10.6,225,-33.22,426
A322180,티라유텍,IT서비스,시스템서비스,63.29,306,62.15,632,2.13,482,3.39,608,-14.27,709,-92.67,722,27.53,133
A044820,코스맥스비티아이,식음료,식료품,63.27,307,9.78,285,0.37,92,0.66,98,12.06,273,44.41,564,-34.32,440
A241840,에이스토리,미디어 및 엔터,미디어,63.25,308,185.5,680,10.16,745,8.75,816,50.91,596,1737,721,82.94,66
A040910,아이씨디,디스플레이 장비 및 부품,디스플레이 장비,63.21,309,3.85,81,0.96,269,1.56,328,31.04,531,6.35,97,-34.52,442
A288620,에스퓨얼셀,IT 장비 및 소재,2차전지,63.13,310,-25.69,707,4.9,661,3.46,618,276.22,695,133.24,678,45.73,101
A066970,엘앤에프,IT 장비 및 소재,2차전지,63.11,311,-342.11,707,6.82,706,14.24,853,-170.77,709,-823.64,722,115.08,45
A020150,일진머티리얼즈,IT 장비 및 소재,2차전지,63.11,311,86.64,652,5.94,690,5.22,735,51.34,598,59.53,602,36.18,115
A322000,현대에너지솔루션,에너지,태양광,63.01,313,-28823.2,707,0.94,262,1.08,228,-315.54,709,52.75,582,-7.92,248
A323990,박셀바이오,제약 및 바이오,바이오,62.93,314,-407.22,707,0,872,42.7,877,-473.26,709,-445.15,722,210.99,16
A094360,칩스앤미디어,반도체 관련장비 및 부품,반도체 설계,62.91,315,22.55,495,8.81,731,4.54,693,56.15,613,45.12,565,20.56,148
A086670,비엠티,기계,피팅 및 밸브,62.81,316,37.68,577,1.31,363,1.57,332,7.23,132,16.57,382,-26.85,368
A112610,씨에스윈드,에너지,풍력,62.78,317,-79.42,707,3.34,581,3.81,649,31.03,530,30.48,516,13.84,169
A001770,신화실업,종이 및 용기,용기 및 포장재,62.74,318,3.68,76,0.44,120,1.04,214,31.53,535,91.75,656,-29.64,400
A006660,삼성공조,자동차 및 관련부품,공조부품,62.69,319,13.02,355,1.9,455,0.56,65,14.03,320,-205.83,722,-25.06,348
A158430,아톤,IT서비스,소프트웨어,62.59,320,23.08,500,3.25,578,2.06,423,40.68,567,47.57,572,-4.36,229
A950130,엑세스바이오,의료기기 및 용품,진단기기,62.57,321,9.21,264,2.2,495,3.51,621,1.52,8,2.95,18,-33.88,435
A304100,솔트룩스,IT서비스,시스템서비스,62.54,322,110.23,665,6.77,705,2.77,521,-17.06,709,64.58,615,27.07,134
A011000,진원생명과학,제약 및 바이오,바이오,62.51,323,-54.04,707,23.72,811,9.84,827,-137.05,709,-53.65,722,127.22,41
A077360,덕산하이메탈,반도체 관련장비 및 부품,반도체 부품,62.47,324,257.73,692,5.45,674,1.27,272,11.18,248,52.1,579,-10.02,260
A002460,화성산업,건설 및 건축자재,중견건설사,62.37,325,3.36,69,0.5,134,0.42,33,8.37,163,8.29,155,-47.47,580
A000230,일동홀딩스,지주사,지주사,62.34,326,-16.06,707,0.28,52,1.59,335,-3.09,709,-6.13,722,-8.72,252
A004800,효성,지주사,지주사,62.34,326,13.53,373,0.73,214,0.93,192,7.24,133,8.87,173,-40.07,492
A052710,아모텍,IT 장비 및 소재,스마트폰 부품,62.3,328,-140.27,707,1.4,375,1.6,340,-43.51,709,-24.94,722,4.82,198
A256150,한독크린텍,가정용품,가전제품,62.24,329,18.91,451,2.14,484,3.07,563,28.71,509,14.5,335,-13.76,284
A081660,휠라홀딩스,섬유 및 의류,의류,62.14,330,6.18,170,0.98,275,2.29,457,9.54,194,7.09,115,-38.15,474
A019170,신풍제약,제약 및 바이오,제약,62.13,331,402.37,696,20.75,806,10.99,837,694.38,702,582.07,715,107.38,50
A194480,데브시스터즈,미디어 및 엔터,게임,62.13,331,83.5,648,7.07,710,9.01,818,13.56,312,65.89,620,16.26,158
A000020,동화약품,제약 및 바이오,제약,62,333,10.64,304,1.48,396,1.24,264,18.78,405,15.98,371,-28.59,388
A034120,SBS,지주사,지주사,61.95,334,9.32,269,0.96,269,1.6,340,8.53,173,7.33,130,-39.05,482
A160980,싸이맥스,반도체 관련장비 및 부품,반도체장비,61.89,335,13.12,357,1.16,320,1.66,356,5.66,87,8.44,162,-37.49,466
A178920,PI첨단소재,IT 장비 및 소재,IT 소재 및 부품,61.78,336,15.84,414,5.16,669,5.15,728,22.05,446,21.71,451,-5.24,230
A267980,매일유업,식음료,식료품,61.76,337,7.81,222,0.42,112,1.37,290,9.61,197,7.36,131,-43.19,523
A034310,NICE,지주사,지주사,61.62,338,1.94,29,0.34,77,1.01,204,10.81,239,5.02,56,-47.66,583
A004890,동일산업,철강 및 비철강,봉형강,61.61,339,13.65,375,0.71,210,0.66,98,8,155,29.99,512,-36.77,459
A000720,현대건설,건설 및 건축자재,대형건설사,61.45,340,5.46,146,0.36,86,0.92,188,11.5,262,10.61,226,-43.76,535
A091120,이엠텍,IT 장비 및 소재,스마트폰 부품,61.44,341,9.47,274,0.83,236,1.48,315,5.83,93,14.44,333,-38.74,478
A000210,DL,지주사,지주사,61.42,342,1.99,32,1.01,281,0.56,65,1.34,6,10.46,215,-48.53,587
A003960,사조대림,식음료,식료품,61.34,343,2.73,49,0.13,12,0.62,89,4.28,48,3.52,24,-54.61,651
A294570,쿠콘,IT서비스,시스템서비스,61.25,344,19.53,459,8.88,732,6.99,789,38.95,559,37.93,547,12.77,175
A035900,JYP ENT.,미디어 및 엔터,매니지먼트,61.23,345,71.53,639,10.16,745,7.62,801,30.14,519,32.59,528,17.87,151
A107590,미원홀딩스,지주사,지주사,61.1,346,15.36,406,0.94,262,1.71,361,7.04,124,11.03,231,-36.8,461
A054930,유신,건설 및 건축자재,중견건설사,61.09,347,2.53,41,0.33,74,0.9,181,10.99,244,16.6,383,-44.14,538
A356890,싸이버원,IT서비스,시스템서비스,61.06,348,137.15,670,4.09,632,2.69,512,85.82,644,41.63,556,7.81,190
A046890,서울반도체,전기 및 전자기기,LED,60.94,349,15.31,404,0.91,254,1.59,335,15.76,359,14.73,341,-31.33,412
A004380,삼익THK,기계,자동화기기,60.87,350,9.6,281,1.05,290,1.53,323,31.31,534,56.82,595,-25.98,358
A012330,현대모비스,자동차 및 관련부품,기타 자동차부품,60.86,351,12.04,338,0.72,212,0.82,149,11.38,255,13.93,320,-39.06,483
A007070,GS리테일,유통,편의점,60.76,352,4.02,87,0.33,74,1.3,278,20.37,427,14.67,339,-40.56,496
A023450,동남합성,화학,계면활성제,60.76,352,-8.92,707,1.46,390,3.62,632,11.73,265,12.89,291,-20.16,316
A000880,한화,지주사,지주사,60.72,354,0.52,2,0.05,1,0.56,65,2,12,1.14,1,-57.94,684
A004440,삼일씨엔에스,건설 및 건축자재,건축자재,60.68,355,21.5,481,0.95,267,0.64,93,11.63,264,46.03,569,-32.46,419
A004690,삼천리,유틸리티,도시가스,60.57,356,1.92,28,0.12,10,0.29,6,1.71,9,3.7,29,-57.97,686
A000760,이화산업,섬유 및 의류,염료,60.52,357,-13.15,707,1.22,331,0.4,24,0.3,1,-11.3,722,-29.97,403
A013890,지누스,가정용품,가구,60.51,358,-936.36,707,1.46,390,3.61,631,20.67,428,17.84,398,-12.64,275
A092870,엑시콘,반도체 관련장비 및 부품,반도체장비,60.47,359,10.63,303,1.9,455,1.41,302,11.42,257,15.27,352,-33.05,423
A228670,레이,의료기기 및 용품,의료기기,60.4,360,51.52,615,7.49,715,6.76,781,-71.85,709,100.72,662,32.78,122
A247540,에코프로비엠,IT 장비 및 소재,2차전지,60.39,361,44.75,599,4.37,642,9.25,821,73.22,636,65.04,617,18.68,150
A017940,E1,석유 및 가스,가스판매,60.33,362,1.9,26,0.1,6,0.33,11,2.47,16,67.78,621,-48.73,590
A001040,CJ,지주사,지주사,60.3,363,0.87,4,0.1,6,0.66,98,15.22,344,2.02,9,-52.8,627
A002170,삼양통상,섬유 및 의류,피혁(가죽),60.23,364,6.93,195,1.18,325,0.62,89,5.44,79,4.12,37,-47.72,584
A314930,바이오다인,의료기기 및 용품,의료용품,60.16,365,-219.99,707,183.31,855,7.08,793,-7.5,709,-209.5,722,64.48,75
A089140,넥스턴바이오,기계,공작기계,60.16,365,236.78,690,17.67,797,2.26,450,31.23,533,-106.05,722,12.99,174
A001080,만호제강,철강 및 비철강,선재(와이어),60.09,367,11.82,334,0.5,134,0.41,27,-379.84,709,314,704,-28.6,389
A139480,이마트,유통,유통,60.08,368,2.48,40,0.19,25,0.48,43,12.11,275,14.16,326,-48.69,589
A052260,현대바이오랜드,가정용품,화장품,60.07,369,35.7,563,3.83,614,2.56,497,27.9,504,-52.5,722,-3.8,224
A204320,만도,자동차 및 관련부품,전장부품,59.99,370,7.97,227,0.53,145,1.76,369,15.4,348,21.3,444,-36,453
A336260,두산퓨얼셀,IT 장비 및 소재,2차전지,59.85,371,-24.6,707,6.23,697,6.29,768,-187.76,709,103.21,663,33.4,120
A028150,GS홈쇼핑,유통,홈쇼핑,59.81,372,7.46,214,0.82,235,0.83,151,6.94,121,6.28,96,-47.03,575
A047920,에이치엘비제약,제약 및 바이오,제약,59.78,373,-284.94,707,7.11,711,5.04,721,-24.24,709,356.44,708,33.46,119
A289220,자이언트스텝,미디어 및 엔터,미디어,59.77,374,-361.69,707,21.95,808,13.97,851,-291.36,709,-2074.5,722,62.83,79
A182400,엔케이맥스,의료기기 및 용품,진단기기,59.72,375,-14.92,707,45.79,832,4.57,694,-10.21,709,-11.9,722,42.67,102
A051910,LG화학,화학,종합 화학,59.72,375,8.33,240,1.77,441,3.11,571,11.17,247,19.46,425,-28.99,392
A285130,SK케미칼,화학,종합 화학,59.63,377,7.47,215,2.32,510,1.61,343,15.67,356,18.18,400,-30.92,410
A033780,KT&G,식음료,식료품,59.57,378,9.93,290,2.15,485,1.33,285,10.58,231,7.8,142,-38.24,476
A108320,실리콘웍스,디스플레이 장비 및 부품,디스플레이 부품,59.56,379,11.4,321,1.27,350,3.07,563,8.48,170,12.16,270,-33.92,436
A084370,유진테크,반도체 관련장비 및 부품,반도체장비,59.46,380,18.43,444,4,626,4.07,665,10.31,222,19.83,428,-20.77,319
A003550,LG,지주사,지주사,59.38,381,28.88,536,2.11,480,0.8,139,3.71,34,7.12,118,-40.9,500
A045100,한양이엔지,반도체 관련장비 및 부품,클린룸,59.36,382,4.73,111,0.4,103,0.89,175,7.44,140,5.93,83,-51.63,616
A092130,이크레더블,일반서비스,신용정보,59.36,382,16.89,427,6.08,694,5.06,723,26.18,493,15.72,363,-11.26,268
A089980,상아프론테크,IT 장비 및 소재,2차전지,59.1,384,41.93,590,4.65,652,4.92,714,83.78,642,98.75,660,11.7,179
A012750,에스원,IT서비스,보안서비스,59.06,385,8.71,253,1.39,373,2.34,464,18.71,402,14.76,342,-32.32,417
A318410,비비씨,종이 및 용기,종이,59.03,386,-43.67,707,2.61,539,1.52,319,12.92,297,10,202,-27.54,379
A012630,HDC,지주사,지주사,58.93,387,-2.67,707,0.17,19,0.35,14,4.74,60,1.23,2,-48.83,591
A375500,DL이앤씨,건설 및 건축자재,대형건설사,58.86,388,4.73,111,2.27,500,0.79,138,5.85,94,21.93,457,-41.57,509
A138080,오이솔루션,통신,통신장비,58.75,389,36.47,567,4.44,645,3.25,589,46.3,582,63.53,613,-4.21,228
A293780,압타바이오,제약 및 바이오,바이오,58.64,390,-148.65,707,1711.5,868,9.94,828,-54.2,709,-100.68,722,53.2,90
A003230,삼양식품,식음료,식료품,58.62,391,11.81,333,1.08,298,1.94,406,13.03,302,8.2,151,-38.96,481
A016250,SGC이테크건설,건설 및 건축자재,중견건설사,58.62,391,2.53,41,0.12,10,0.98,198,3.34,27,-5.4,722,-46.26,563
A352820,하이브,미디어 및 엔터,미디어,58.51,393,166.57,676,20.38,805,8.81,817,156.01,677,115.15,667,31.56,124
A067280,멀티캠퍼스,일반서비스,교육,58.34,394,6.44,182,0.86,247,1.91,402,29.24,514,15.05,350,-35.62,451
A361390,제노코,기계,우주항공,58.2,395,-13.94,707,2.96,559,4.34,679,44.72,577,43.69,560,-3.31,222
A214390,경보제약,제약 및 바이오,원료의약품,58.11,396,14.93,397,1.48,396,1.98,413,50.59,594,43.27,558,-24.74,344
A042000,카페24,IT서비스,인터넷서비스,57.94,397,20.66,475,2.21,497,4.77,701,-94.2,709,59.74,604,-6.59,242
A003580,넥스트사이언스,건설 및 건축자재,건축자재,57.93,398,-42.46,707,11.68,762,6.78,783,-35.73,709,-34.07,722,30.81,126
A100840,SNT에너지,기계,플랜트설비,57.9,399,3.11,63,0.72,212,0.71,119,4.6,55,7.28,128,-54.4,644
A031440,신세계푸드,식음료,식료품,57.78,400,3.3,67,0.31,69,1.39,295,31.2,532,23.51,471,-40.94,503
A293480,하나제약,제약 및 바이오,제약,57.75,401,26.45,520,2.27,500,1.79,375,22.91,456,13.45,306,-27.94,383
A071670,에이테크솔루션,기계,금형,57.72,402,5.69,156,0.67,199,2.25,446,23.66,472,32.45,527,-34.78,443
A263720,디앤씨미디어,미디어 및 엔터,미디어,57.71,403,43.16,595,8.57,728,9.54,825,37.72,553,36.53,540,3.1,203
A017670,SK텔레콤,통신,통신서비스,57.66,404,4.19,94,1.27,350,1,201,10.75,234,16.7,386,-43.61,533
A007540,샘표,지주사,지주사,57.43,405,3.78,78,0.51,138,0.91,184,7.18,131,4.02,35,-54.8,653
