코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,시가총액 (억),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),발표 분기 PSR,낮은순서(값>0)  (비중 5),발표 분기 PEG,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),발표 분기 POR,낮은순서(값>0)  (비중 5),거래대금 증가율(5일대비),높은순서  (비중 15),거래대금 증가율(20일대비),높은순서  (비중 15),
A052020,에스티큐브,제약 및 바이오,바이오,64.93,542,3180,627,-28.94,1482,38.24,1913,1.1,1148,9.46,1924,-19.74,1418,-20.67,1369,181.88,63,537.16,35,
A000440,중앙에너비스,석유 및 가스,석유판매,64.9,543,1301,1316,-55.66,1482,2.53,1232,0.11,541,2.18,1111,120.46,1304,124.14,1233,95.56,160,8.38,495,
A004360,세방,운송 및 물류,육상운송,64.87,544,2819,711,7.8,403,0.33,145,-1.01,1328,0.33,15,4.87,102,12.45,499,-8.67,976,-47.08,1353,
A102120,어보브반도체,반도체 관련장비 및 부품,반도체 설계,64.86,545,2601,762,13.52,698,1.83,1034,-0.63,1328,2.61,1279,24.71,902,24.72,842,27.63,436,-5.41,680,
A000020,동화약품,제약 및 바이오,제약,64.77,546,4399,467,11.44,615,1.53,926,0.14,633,1.33,643,20.19,785,21.48,785,-11.36,1026,-12.23,761,
A131390,원익피앤이,IT 장비 및 소재,2차전지,64.73,547,3179,628,8.51,456,1.32,830,-0.9,1328,2.92,1361,21.75,829,22.16,794,11.27,587,-10.65,746,
A060260,뉴보텍,건설 및 건축자재,건축자재,64.72,548,567,1891,-94.93,1482,1.58,944,3.83,1261,2.85,1346,-13.4,1418,-12.69,1369,112.29,130,442.5,42,
A010580,지코,자동차 및 관련부품,엔진부품,64.69,549,198,2000,4.05,147,0.25,79,0.03,190,2.22,1129,-1.97,1418,-2.47,1369,0,740,0,561,
A009150,삼성전기,IT 장비 및 소재,스마트폰 부품,64.64,550,132581,24,7.83,405,1.4,861,0.19,729,2.21,1123,14.21,591,10,394,-10.45,1008,-30.02,1032,
A317830,에스피시스템스,기계,기계,64.63,551,656,1834,39.07,1181,3,1342,-1.21,1328,2.12,1085,59.85,1198,237.68,1306,67.15,237,227.12,88,
A226400,오스테오닉,의료기기 및 용품,의료기기,64.61,552,772,1747,35.62,1150,6.01,1642,0.01,1,2.38,1185,-7.66,1418,-34.16,1369,73.63,218,28.84,363,
A006580,대양제지,종이 및 용기,종이,64.59,553,875,1654,3.4,110,0.65,407,-1.59,1328,0.65,154,155.14,1335,-19.12,1369,0,740,0,561,
A347890,엠투아이,IT 장비 및 소재,스마트폰 부품,64.57,554,1856,1002,28.45,1071,4.78,1569,3.67,1260,3.19,1444,16.52,674,13.86,556,17.64,521,27.13,375,
A043710,서울리거,미디어 및 엔터,게임,64.56,555,474,1940,-3.87,1482,1.55,933,0.06,373,1.98,1011,-2.67,1418,-2.6,1369,105.49,138,15.39,442,
A282690,동아타이어,자동차 및 관련부품,타이어,64.52,556,1730,1053,9.55,514,1.05,685,-1.71,1328,0.48,61,12.32,499,13.51,539,-15.41,1117,-10.75,749,
A016880,웅진,IT서비스,시스템서비스,64.48,557,2126,897,2.64,69,0.23,66,1.46,1185,5.24,1752,151.86,1333,6.82,214,11.77,582,-28.24,1008,
A023910,대한약품,제약 및 바이오,제약,64.43,558,2061,916,7.02,358,1.32,830,-0.38,1328,1.11,503,9.98,366,8.56,301,-9.83,1001,-21.44,898,
A010130,고려아연,철강 및 비철강,아연,64.42,559,81424,40,13.21,691,0.93,597,0.19,729,1.17,544,9.71,350,7.54,250,-17.92,1168,-38.3,1199,
A004490,세방전지,자동차 및 관련부품,배터리,64.36,560,13342,185,7.86,408,1.04,678,0.2,750,1.18,549,10.77,410,11.53,465,-1.99,844,-51.07,1446,
A004090,한국석유,건설 및 건축자재,건축자재,64.35,561,2025,933,15.08,762,0.39,192,0.41,940,1.39,693,27.62,948,15.47,610,12.03,576,-37.23,1171,
A190510,나무가,IT 장비 및 소재,카메라모듈,64.33,562,1172,1399,3.37,108,0.17,32,0.02,109,2.38,1185,2.94,32,3.75,59,-48.73,1737,-9.43,729,
A290690,소룩스,반도체 관련장비 및 부품,반도체 부품,64.32,563,1325,1301,-42.31,1482,2.67,1263,1.03,1137,3.03,1398,154.79,1334,184.03,1282,66.9,242,139.31,134,
A219420,링크제니시스,IT서비스,소프트웨어,64.31,564,829,1694,20.32,920,5.71,1627,0.02,109,2.27,1153,14.66,609,20.38,756,42.77,350,-15.08,803,
A065500,오리엔트정공,자동차 및 관련부품,변속기부품,64.31,565,1266,1339,82.25,1338,1.12,718,0.57,1020,3.97,1610,72.26,1237,130.25,1239,50.74,309,45.68,300,
A031390,녹십자셀,제약 및 바이오,바이오,64.28,567,5313,401,40.04,1192,11.63,1809,-5.29,1328,5,1727,-423.01,1418,-461.2,1369,69.77,227,132.37,137,
A128940,한미약품,제약 및 바이오,제약,64.28,566,42818,67,30.77,1101,3.96,1490,0.37,915,5.75,1795,56.21,1186,35.74,988,1.94,706,71.85,225,
A005420,코스모화학,IT 장비 및 소재,2차전지,64.27,568,3194,622,18.47,868,0.63,395,0.06,373,2.25,1144,18.08,717,9.45,359,1.75,709,-40.98,1244,
A111770,영원무역,섬유 및 의류,의류,64.24,569,19453,136,5.17,223,0.86,558,0.61,1029,1.03,435,9.87,358,6.57,204,-21.99,1252,-39.1,1215,
A003100,선광,운송 및 물류,운송인프라,64.2,570,2861,698,5.23,228,1.97,1089,1.41,1180,0.94,371,41.37,1100,14.47,579,-0.15,817,-20.87,886,
A007370,진양제약,제약 및 바이오,제약,64.2,571,834,1692,10.4,558,1.57,941,0.22,776,1.82,932,27.54,947,25.8,859,137.2,100,-34.65,1117,
A101390,아이엠,IT 장비 및 소재,카메라모듈,64.16,572,701,1798,-39.18,1482,0.4,205,0.07,416,3.02,1395,11.66,467,19.65,742,80.97,194,-33.4,1093,
A085670,뉴프렉스,IT 장비 및 소재,PCB,64.16,572,475,1939,-28.31,1482,0.36,168,-0.16,1328,1.24,592,-10.48,1418,-5.8,1369,22.9,472,78.21,218,
A363280,티와이홀딩스,건설 및 건축자재,대형건설사,64.15,574,11891,199,19.29,890,17.21,1860,0,1328,1.87,958,20.42,792,18.84,717,27.32,438,-12.78,770,
A138610,나이벡,의료기기 및 용품,의료용품,64.12,575,5229,408,-253.06,1482,59.29,1930,0.03,190,17.03,1976,-112.4,1418,-147.05,1369,24.86,458,242.63,76,
A005850,에스엘,자동차 및 관련부품,기타 자동차부품,64.11,576,16968,148,7.92,414,0.57,346,0.02,109,1.17,544,7.92,262,7.47,248,-22.38,1263,-54,1506,
A340930,유일에너테크,IT 장비 및 소재,2차전지,64.07,577,2129,896,168.69,1408,5.11,1593,-1.17,1328,4.4,1665,103.96,1284,-221.77,1369,90.82,176,178.89,105,
A149950,아바텍,디스플레이 장비 및 부품,디스플레이 장비,64.04,578,2919,679,25.21,1016,3.68,1460,0.12,572,2.08,1067,73.12,1238,149.23,1258,2.26,700,36.16,335,
A214430,아이쓰리시스템,기계,방위산업,64.02,579,1428,1221,5.22,227,2.03,1113,-2.83,1328,2.05,1053,-228.85,1418,-35.88,1369,26.48,445,15.05,445,
A101170,우림기계,기계,중장비 및 관련품,64.02,579,713,1788,8.32,442,1.43,876,-0.87,1328,0.9,347,67.52,1225,-31.83,1369,9.01,617,24.06,391,
A000050,경방,섬유 및 의류,섬유,64.01,582,3879,531,33.47,1130,1.17,739,0.04,265,0.52,75,14.18,590,7.27,241,-13.47,1073,-38.56,1204,
A068790,DMS,디스플레이 장비 및 부품,디스플레이 장비,64.01,581,1902,985,3.09,97,1.23,782,-0.15,1328,0.82,268,6.37,185,12.2,489,-15.02,1105,-26.59,984,
A302430,이노메트리,IT 장비 및 소재,2차전지,63.97,583,1755,1038,44.03,1214,4.87,1578,-7.77,1328,3.56,1531,81.55,1254,180.56,1280,69.79,226,107.69,170,
A226440,한송네오텍,디스플레이 장비 및 부품,디스플레이 부품,63.96,584,995,1556,-22.88,1482,5.34,1607,0.03,190,2.78,1323,-28.56,1418,-18.62,1369,102.86,141,32.03,349,
A258790,소프트캠프,IT서비스,소프트웨어,63.94,585,1041,1515,62.07,1292,8,1728,0.11,541,6.76,1847,-40.29,1418,-34.38,1369,78.44,200,518.06,36,
A289080,SV인베스트먼트,금융,기타 금융,63.92,586,2270,863,1939.52,1475,4.95,1586,0.03,190,3.75,1569,12.87,523,10.49,420,12.52,572,-6.48,694,
A196170,알테오젠,제약 및 바이오,바이오,63.91,587,38678,76,8119.53,1480,81.37,1939,-17.04,1328,17.19,1977,1155.26,1408,-659.13,1369,112.01,131,119.55,152,
A376190,엘비루셈,반도체 관련장비 및 부품,종합 반도체,63.89,588,3542,571,19.2,887,1.65,974,0.4,934,2.94,1368,16.72,684,18.09,698,160.16,75,-47.43,1363,
A208340,파멥신,제약 및 바이오,바이오,63.89,589,1873,996,-7.74,1482,936.5,1974,0.02,109,6.18,1821,-2.87,1418,-5.76,1369,93.79,163,60.7,258,
A042940,상지카일룸,건설 및 건축자재,중견건설사,63.88,590,1024,1527,303.35,1437,17.88,1864,0.01,1,1.8,921,-5.5,1418,-4.94,1369,32.66,406,71.67,226,
A272110,케이엔제이,반도체 관련장비 및 부품,반도체 부품,63.83,591,1262,1341,24.59,1006,3.58,1444,0.28,841,5.37,1763,20.95,807,-61.38,1369,37.97,380,63.34,245,
A059090,미코,반도체 관련장비 및 부품,반도체 부품,63.82,592,4438,463,8.61,462,1.27,801,0.05,317,3.58,1536,14.03,575,6.09,175,-35.3,1508,3.2,532,
A044340,위닉스,가정용품,가전제품,63.79,593,4093,498,42.81,1205,1.02,663,0.12,572,2.16,1103,11.03,429,11.49,463,-7.95,960,-20.58,881,
A128660,피제이메탈,철강 및 비철강,철강소재,63.76,594,1010,1544,-30.09,1482,0.6,374,0.03,190,2.38,1185,9.13,318,6.49,198,-8.65,975,-10.75,749,
A006400,삼성SDI,IT 장비 및 소재,2차전지,63.75,595,497168,8,26.62,1041,4.19,1512,0.06,373,3.75,1569,92.61,1269,93.33,1198,0.97,725,15.46,440,
A011000,진원생명과학,제약 및 바이오,바이오,63.71,596,22527,123,-121.35,1482,61.26,1931,-22.3,1328,22.11,1987,-307.75,1418,-177.49,1369,90.62,177,184.31,102,
A109820,진매트릭스,제약 및 바이오,바이오,63.7,597,2733,725,47.1,1227,19.96,1874,0.19,729,8.01,1895,92.33,1268,217.6,1299,93.59,165,38.82,322,
A089470,HDC현대EP,자동차 및 관련부품,차량 내장재,63.68,598,2032,927,5.95,279,0.26,87,0.5,991,0.68,174,10.06,372,7.56,251,-47.93,1724,-10.31,743,
A123890,한국자산신탁,일반서비스,부동산,63.64,599,5920,363,1.36,19,2.8,1293,-0.38,1328,0.77,239,5.84,151,4.43,91,-27.73,1365,-25.91,971,
A309930,오하임아이엔티,금융,기타 금융,63.63,600,764,1752,-783.46,1482,2.63,1256,-1.8,1328,3.54,1527,25.67,914,21.58,786,118.38,122,29.05,361,
A030790,비케이탑스,IT서비스,시스템서비스,63.61,601,1352,1274,-3.58,1482,15.15,1848,0.04,265,4.71,1700,7.93,264,-23.02,1369,20.88,493,54.6,273,
A030200,KT,통신,통신서비스,63.55,602,83034,39,1.67,27,0.34,153,0.15,658,0.6,116,6.86,211,4.67,104,-38.71,1583,-53.04,1486,
A003680,한성기업,식음료,식료품,63.5,603,550,1900,2.44,59,0.23,66,0.33,889,1.04,446,6.58,195,11.37,460,5.08,663,-54.08,1508,
A025860,남해화학,화학,비료 및 농약,63.47,604,5216,411,8.52,459,0.43,235,-0.78,1328,1.15,530,44.75,1122,41.71,1028,15.59,542,-42.6,1265,
A067080,대화제약,제약 및 바이오,제약,63.43,605,2513,788,41.45,1201,2.28,1174,0.69,1061,3.08,1411,44.15,1120,3490.28,1363,22.19,479,37.02,330,
A061970,엘비세미콘,반도체 관련장비 및 부품,반도체장비,63.43,605,5736,374,5.85,271,1.26,797,0.19,729,3.16,1432,15.26,632,13.48,538,-19.87,1210,-8.23,714,
A049800,우진플라임,기계,기계,63.42,607,848,1676,2.63,68,0.36,168,-4.05,1328,1.38,684,13.37,554,21.81,788,-9.49,987,-12.99,773,
A262260,에이프로,IT 장비 및 소재,2차전지,63.41,608,2759,720,-8.46,1482,3.04,1351,-2.22,1328,4.72,1703,185.42,1345,271.56,1313,91.13,171,57.8,265,
A045970,코아시아,IT 장비 및 소재,IT 소재 및 부품,63.39,609,2697,740,12.18,651,0.6,374,0.19,729,2.26,1148,38.01,1073,25.27,854,-1.39,837,-16.31,825,
A095610,테스,반도체 관련장비 및 부품,반도체장비,63.35,610,6108,354,21.52,950,0.99,633,0.01,1,2.38,1185,5.48,130,4.62,101,-36.46,1535,-19.67,868,
A011150,CJ씨푸드,식음료,식료품,63.35,611,1723,1058,49.86,1245,1.05,685,0.1,516,2.52,1248,16.52,674,17.11,663,5.62,657,-17.07,835,
A200780,비씨월드제약,제약 및 바이오,제약,63.29,612,1556,1158,-202.12,1482,2.67,1263,-1.38,1328,1.53,783,34.52,1040,53.95,1097,20.04,499,41.5,310,
A017000,신원종합개발,건설 및 건축자재,중견건설사,63.27,613,826,1700,-15.41,1482,0.93,597,0.25,805,1.05,454,28.56,966,22.82,809,121.82,115,-35.52,1142,
A200710,에이디테크놀로지,반도체 관련장비 및 부품,반도체 설계,63.26,614,3099,649,-181.11,1482,0.97,624,0.16,679,2.04,1049,14.9,618,21.14,773,-11.41,1027,1.54,544,
A041440,현대에버다임,기계,중장비 및 관련품,63.23,615,1353,1273,6.81,346,0.46,255,-0.54,1328,0.73,213,19.56,771,155.16,1262,71.41,222,-53.34,1493,
A092190,서울바이오시스,전기 및 전자기기,LED,63.21,616,6307,339,18.23,865,1.29,817,0.04,265,3.47,1509,18.6,738,12.47,500,-25.69,1325,3.32,530,
A100590,머큐리,통신,통신장비,63.2,617,1491,1185,68.45,1305,1.35,842,0.09,487,1.82,932,22.88,868,18,692,1.48,714,-8.39,716,
A036830,솔브레인홀딩스,반도체 관련장비 및 부품,반도체 부품,63.18,619,7788,279,19.4,894,2.02,1109,-0.15,1328,0.73,213,10.86,418,8.12,276,-5.46,911,-34.66,1119,
A011040,경동제약,제약 및 바이오,제약,63.18,618,3538,572,55.77,1271,2.27,1170,-0.89,1328,1.37,674,24.38,899,17.96,689,-7.47,952,26.02,382,
A163730,핑거,IT서비스,시스템서비스,63.15,620,1852,1003,49.4,1238,3.38,1417,0.01,1,4.81,1713,-9.35,1418,-482.29,1369,13.1,565,61.5,253,
A009730,코센,철강 및 비철강,스테인리스,63.11,621,264,1990,11.22,604,0.73,481,0.03,190,1.36,668,-7.1,1418,-6.63,1369,0,740,0,561,
A000390,삼화페인트,건설 및 건축자재,페인트,63.08,622,3428,586,25.86,1029,0.66,417,2.7,1234,1.18,549,303.9,1379,324.62,1321,40.27,369,-27.97,1003,
A042000,카페24,IT서비스,인터넷서비스,63.05,623,5829,367,21,936,2.27,1170,-2.87,1328,4.85,1714,-95.75,1418,-209.68,1369,33.65,401,26.72,378,
A331920,셀레믹스,제약 및 바이오,바이오,63.03,624,1572,1140,-45.46,1482,31.12,1904,2.24,1221,5.63,1787,-26.84,1418,-23.92,1369,169.56,68,473.7,39,
A246710,티앤알바이오팹,제약 및 바이오,바이오,63,625,4295,475,-48.44,1482,145.3,1952,3.09,1246,9.7,1927,-54.62,1418,-50.06,1369,126.11,111,120.2,149,
A217270,넵튠,미디어 및 엔터,게임,62.99,626,8055,276,-81.47,1482,34.6,1910,4.69,1276,2.57,1266,-106.1,1418,-60.29,1369,67.09,239,40.69,313,
A065130,탑엔지니어링,디스플레이 장비 및 부품,디스플레이 장비,62.98,627,1463,1198,2.15,46,0.13,19,-0.9,1328,0.7,191,-82.75,1418,-3.78,1369,-2.48,852,-17.39,843,
A017900,광전자,IT 장비 및 소재,IT 소재 및 부품,62.98,629,1761,1035,83.41,1342,1.02,663,-2.86,1328,0.87,321,15.17,626,83.54,1185,-22.8,1269,162.19,116,
A129260,인터지스,운송 및 물류,운송인프라,62.98,627,1330,1294,4.62,181,0.27,98,0.01,1,0.7,191,9.16,322,8.33,290,-59.5,1863,-21.38,896,
A123420,선데이토즈,미디어 및 엔터,게임,62.97,630,2364,831,19.38,893,2.52,1231,-0.31,1328,1.63,835,18.44,728,30.17,930,-4.8,900,23.55,394,
A000080,하이트진로,식음료,음료,62.95,631,25774,114,3.57,114,1.2,761,-1.72,1328,2.45,1223,22.14,841,12.18,488,-7.23,945,-26.93,986,
A241710,코스메카코리아,가정용품,화장품,62.92,632,1874,994,21.31,944,0.5,287,-3.1,1328,1.43,717,23.88,890,13.95,559,38.7,377,-43.02,1273,
A348150,고바이오랩,제약 및 바이오,바이오,62.91,633,5673,382,-142.98,1482,198.63,1960,-0.51,1328,10.22,1938,-47.83,1418,-43.32,1369,82.3,191,247.94,74,
A267270,현대건설기계,기계,기계,62.89,634,10737,219,3.98,138,0.28,108,0,1328,0.84,288,5.54,135,3.37,42,-26.32,1336,-52.03,1470,
A108230,톱텍,디스플레이 장비 및 부품,디스플레이 장비,62.88,635,4734,442,-20.31,1482,2.9,1318,-1.06,1328,1.28,616,25.68,915,-68.37,1369,17.21,528,1.82,542,
A187660,에이디엠코리아,제약 및 바이오,바이오,62.83,636,2057,919,0,1482,0,1983,0,1328,14.38,1966,0,1418,0,1369,201.36,52,757.5,24,
A019180,티에이치엔,자동차 및 관련부품,기타 자동차부품,62.78,638,716,1786,8.34,445,0.18,41,-0.31,1328,0.97,391,-30.13,1418,3.9,63,52.9,301,-50.82,1443,
A133820,화인베스틸,조선,조선기자재,62.78,637,841,1687,9.61,519,0.91,592,0.04,265,1.16,536,-4.38,1418,-5.31,1369,10.92,592,-17.54,847,
A183190,아세아시멘트,건설 및 건축자재,시멘트 및 레미콘,62.76,639,4967,427,5.02,210,0.74,485,-6.47,1328,0.61,120,-636.79,1418,21.3,777,3.11,693,-43.8,1288,
A339950,아이비김영,일반서비스,교육,62.74,640,2054,922,17.43,846,3.94,1486,-0.91,1328,7.87,1889,-35.68,1418,-27.98,1369,29.49,424,337.23,61,
A223250,드림씨아이에스,제약 및 바이오,바이오,62.64,641,917,1610,64.1,1297,4.37,1535,-1.15,1328,2.47,1236,41.76,1102,38.14,1005,37.6,384,114.52,158,
A123410,코리아에프티,자동차 및 관련부품,기타 자동차부품,62.63,642,1133,1430,5.19,225,0.25,79,0,1328,0.88,330,4.06,70,3.62,55,-22.79,1268,-35.47,1140,
A086450,동국제약,제약 및 바이오,제약,62.6,643,12449,193,25.44,1021,2.16,1140,-2.42,1328,2.97,1376,20.58,795,15.87,621,3.63,686,-10.07,739,
A062970,피피아이,통신,통신장비,62.59,644,844,1684,-19.73,1482,7.42,1707,0.3,867,5.41,1766,-10.53,1418,-8.67,1369,259.49,21,140.78,132,
A008370,원풍,화학,기타 화학,62.58,645,737,1770,9.63,521,0.87,565,-0.52,1328,0.94,371,12.99,527,16.42,640,15.5,544,-35.34,1133,
A036000,예림당,운송 및 물류,항공운송,62.57,646,817,1709,-31.46,1482,0.48,269,0.06,373,0.7,191,-1.62,1418,-0.46,1369,28.75,428,-20.88,887,
A088790,진도,섬유 및 의류,의류,62.57,647,611,1863,5.7,257,1.04,678,0.02,109,0.62,132,14.7,612,15.86,620,6.88,638,-54.97,1524,
A007590,동방아그로,화학,비료 및 농약,62.56,648,1220,1368,6.5,325,0.42,224,0.16,679,0.82,268,2.86,26,2.14,11,-2.74,864,-66.94,1755,
A174900,앱클론,제약 및 바이오,바이오,62.54,649,3735,548,-78.28,1482,164.39,1954,0.73,1072,13.78,1964,-34.71,1418,-34.6,1369,96.9,152,109.63,167,
A010640,진양폴리,화학,폴리우레탄,62.53,650,408,1967,15.93,796,0.92,594,-0.91,1328,1.56,798,45.74,1129,27.13,881,29.27,425,-4.56,666,
A120240,대정화금,화학,기타 화학,62.53,650,1967,964,25.64,1025,2.61,1249,-0.85,1328,1.53,783,24.2,895,25,847,15.65,541,-5.8,684,
A036640,HRS,화학,기타 화학,62.52,652,1025,1526,12.88,677,1.44,880,0.17,698,1.26,604,9.41,336,8.22,283,36.19,390,-55.27,1531,
A036670,KCI,화학,계면활성제,62.5,653,1144,1420,8.48,454,1.68,984,-0.38,1328,1.56,798,27.66,951,30.95,938,-5.79,916,25.74,384,
A134790,시디즈,가정용품,가구,62.49,654,1452,1209,8.11,428,0.52,304,0.19,729,2.72,1307,7.11,227,6.21,181,-4,889,-40.73,1241,
A280360,롯데제과,식음료,식료품,62.44,655,9048,251,4.31,163,0.45,247,0,1328,0.75,225,15.27,634,8.73,314,-29.97,1395,-35.85,1147,
A251970,펌텍코리아,종이 및 용기,용기 및 포장재,62.41,656,2939,670,438.87,1452,1.32,830,-3.22,1328,1.64,843,11.58,463,9.38,355,25.88,452,-37.03,1166,
A150840,인트로메딕,의료기기 및 용품,의료기기,62.39,657,977,1564,-31.28,1482,13.56,1833,3.63,1256,4.18,1639,375.77,1388,-18.12,1369,196.53,53,495.39,37,
A306200,세아제강,철강 및 비철강,제강,62.38,658,3134,641,5.01,208,0.24,72,-0.22,1328,0.52,75,5.94,162,4.97,118,-41.56,1622,-34.03,1111,
A267850,아시아나IDT,IT서비스,시스템서비스,62.37,659,2703,736,9.56,515,1.64,969,0.45,968,2.07,1064,-312.85,1418,123.09,1231,0,740,0,561,
A046210,파나진,의료기기 및 용품,진단기기,62.37,659,1845,1005,33.72,1133,13.21,1828,0.06,373,7.02,1860,31.72,1017,39.56,1014,6.37,649,81.71,209,
A067290,JW신약,제약 및 바이오,제약,62.34,661,2373,824,68.92,1308,2.47,1222,-1.68,1328,4.25,1646,-151.73,1418,1603.38,1356,42.18,355,79.84,215,
A173130,오파스넷,IT서비스,시스템서비스,62.34,661,600,1873,2.84,77,0.71,460,0.05,317,2.56,1265,17.58,705,34.09,973,6.87,639,-32.35,1075,
A002810,삼영무역,가정용품,개인용품,62.33,663,3176,630,12.3,658,0.72,471,0.09,487,0.83,280,7.2,231,9.92,390,-33.94,1482,-32.34,1074,
A021240,코웨이,가정용품,가전제품,62.33,664,60220,48,13.23,693,1.71,997,0.5,991,3.93,1601,11.97,486,8.82,321,-16.6,1146,-10.66,747,
A001550,조비,화학,비료 및 농약,62.32,665,1334,1289,30.46,1097,1.68,984,0.14,633,2.54,1256,23.14,874,22.43,802,41.44,359,-23.64,935,
A035150,백산,섬유 및 의류,피혁(가죽),62.29,666,2541,781,7.7,393,0.67,424,-0.4,1328,1.95,993,6.31,180,6.45,195,-51.62,1775,21.89,402,
A161390,한국타이어앤테크놀로지,자동차 및 관련부품,타이어,62.28,667,63796,47,5.01,208,0.99,633,0.11,541,0.84,288,9.24,324,8.57,302,-34.54,1494,-46.25,1334,
A015230,대창단조,기계,중장비 및 관련품,62.25,668,1321,1303,8.21,433,0.39,192,0.05,317,0.67,166,3.4,45,5.51,141,-26.59,1339,-49.15,1407,
A140070,서플러스글로벌,반도체 관련장비 및 부품,반도체장비,62.24,669,2064,915,6.85,349,1.27,801,0.04,265,1.49,747,8.54,285,6.64,206,3.18,692,-65.89,1731,
A095720,웅진씽크빅,일반서비스,교육,62.24,670,4730,444,8.25,436,0.67,424,0.31,876,1.29,621,42.98,1113,25.76,858,-17.46,1162,-19.05,860,
A086900,메디톡스,의료기기 및 용품,의료용품,62.21,671,14986,164,-209.6,1482,11.77,1812,0.01,1,4.55,1681,6.79,204,-84.9,1369,8.85,619,-11.52,758,
A114190,강원,기계,플랜트설비,62.21,672,454,1951,-6.63,1482,1.03,673,0.04,265,2.45,1223,7.72,254,53.29,1094,0,740,0,561,
A039560,다산네트웍스,통신,통신장비,62.18,673,3893,529,32.79,1124,0.93,597,0.68,1058,2.42,1207,-10.68,1418,-4.98,1369,47.31,326,-18.78,857,
A006050,국영지앤엠,건설 및 건축자재,유리,62.16,674,995,1556,39.55,1186,1.6,951,0.04,265,2.01,1030,-17.2,1418,-15.86,1369,54.47,294,-9.72,733,
A000430,대원강업,자동차 및 관련부품,스프링,62.13,675,2604,761,20.1,915,0.29,116,-0.65,1328,0.56,96,-44.26,1418,-57.66,1369,14.7,552,-32.08,1068,
A287410,제이시스메디칼,의료기기 및 용품,의료서비스,62.12,676,4203,486,25.51,1023,5.75,1629,0.05,317,14.49,1967,-16.42,1418,20.47,760,51.42,308,-13.8,781,
A060310,3S,반도체 관련장비 및 부품,반도체장비,62.1,677,1460,1203,167.61,1406,9.75,1765,0.12,572,4.03,1618,21.7,826,-49.19,1369,96.63,153,1.06,551,
A060850,영림원소프트랩,IT서비스,소프트웨어,62.1,677,1008,1546,68.63,1306,3.05,1353,0.14,633,3.15,1428,-23.44,1418,-18.39,1369,68.57,230,27.09,376,
A050860,아세아텍,기계,농업용기계,62.07,679,799,1729,3.71,125,0.49,279,0.01,1,0.8,256,6.27,178,5.23,127,-49.94,1752,-26.08,976,
A003160,디아이,반도체 관련장비 및 부품,반도체장비,62.04,680,2655,751,27.18,1054,1.28,809,0.04,265,2.01,1030,14.53,602,16.78,649,-42.19,1635,54.57,274,
A255220,SG,건설 및 건축자재,건축자재,62.02,683,1020,1530,10.71,574,1.2,761,0.03,190,1.63,835,-3.42,1418,-9.55,1369,18.66,510,-21.35,895,
A025770,한국정보통신,IT서비스,전자결제,62.02,681,3546,567,5.68,255,0.7,448,0.39,928,1.68,861,18.71,744,14.23,569,-32.73,1453,-8.78,720,
A033320,제이씨현시스템,전기 및 전자기기,전자기기,62.02,681,1541,1166,11.67,632,0.57,346,0.07,416,1.55,792,8.6,291,6.36,189,-0.26,818,-55.43,1535,
A058630,엠게임,미디어 및 엔터,게임,62,684,1878,992,13.56,701,3.72,1462,0.12,572,3.67,1553,9.81,356,14.92,592,-10.26,1006,1.09,550,
A016790,현대사료,식음료,사료,61.99,685,1082,1477,8.52,459,1.17,739,0.03,190,1.88,962,-35.55,1418,-36.46,1369,45.71,336,-33.36,1092,
A008260,NI스틸,철강 및 비철강,제강,61.96,686,1570,1146,5.29,230,0.81,525,0.05,317,1.26,604,8.96,306,6.45,195,-13.5,1074,-51.33,1454,
A042040,케이피엠테크,IT 장비 및 소재,PCB,61.91,687,4263,479,-56.43,1482,9.71,1761,-20.27,1328,3.27,1467,-2010.85,1418,-53.72,1369,63.95,255,51.37,283,
A002240,고려제강,철강 및 비철강,선재(와이어),61.88,688,5716,377,3.95,136,0.36,168,0.01,1,0.41,35,4.37,78,6.18,179,-53.66,1803,-54.62,1514,
A007160,사조산업,식음료,식료품,61.85,689,3235,619,4.12,152,0.59,366,0.01,1,0.79,252,7.55,248,8.29,285,-15.58,1121,-77.58,1882,
A000540,흥국화재,금융,손해보험,61.82,690,3071,653,0.46,3,0.09,8,0.02,109,0.45,46,5.17,115,4.29,82,-46.66,1702,-58.81,1606,
A208640,썸에이지,미디어 및 엔터,게임,61.76,691,3969,514,-33.87,1482,13.22,1830,0.01,1,8.63,1910,6.98,220,-32.18,1369,-1.57,839,27.73,371,
A035760,CJ ENM,미디어 및 엔터,미디어,61.72,692,40415,71,5.87,275,1.28,809,0.08,452,1.14,521,13.74,566,10.79,437,-27.3,1355,-41.81,1256,
A011780,금호석유,화학,합성고무,61.72,693,66420,45,6.41,318,0.9,586,0.01,1,1.87,958,3.49,49,2.71,23,-44.8,1681,-44.9,1314,
A238200,비피도,제약 및 바이오,바이오,61.7,694,1268,1337,69.7,1310,10.76,1791,0,1328,2.45,1223,5.64,140,-190.96,1369,1.42,716,173.15,108,
A038390,레드캡투어,레저산업,여행,61.67,695,2238,868,-13.78,1482,0.88,575,1.18,1158,1.33,643,11.54,461,7.24,237,10.46,601,-41.45,1250,
