코드 번호,회사명,업종 (대),업종 (소),종합점수,종합랭킹,1개월 등락률 (%),높은순서  (비중 5),3개월 등락률 (%),높은순서  (비중 5),6개월 등락률 (%),높은순서  (비중 5),9개월 등락률 (%),높은순서  (비중 5),1년 등락률 (%),높은순서  (비중 5),과거 PCR,낮은순서(값>0)  (비중 5),과거 PFCR,낮은순서(값>0)  (비중 5),발표 PSR,낮은순서(값>0)  (비중 5),발표 PBR,낮은순서(값>0)  (비중 5),발표 분기 PER,낮은순서(값>0)  (비중 5),과거 EV/EBITDA (%),낮은순서(값>0)  (비중 5),발표 POR,낮은순서(값>0)  (비중 5),
A038500,삼표시멘트,건설 및 건축자재,시멘트 및 레미콘,69.42,465,12.8,733,7.7,904,0.4,1329,23.8,985,6.5,1134,4.55,377,7.99,431,0.74,791,0.65,443,-25.62,1460,7.93,570,9.27,458,
A055550,신한지주,지주사,지주사,69.39,466,6.1,1322,6.6,951,-8,1792,0,1600,-26.1,2052,4.34,351,4.69,233,0.84,874,0.39,138,3.63,105,2.99,118,3.4,86,
A004890,동일산업,철강 및 비철강,봉형강,69.36,468,0.1,1850,-1.7,1552,23.3,679,33.9,778,17.2,913,4.48,368,5.83,311,0.51,550,0.46,222,18.37,830,3,119,-34,1458,
A121440,골프존뉴딘홀딩스,지주사,지주사,69.36,467,-6.8,2156,2.2,1204,24.6,654,79.7,330,59.6,426,15.11,998,17.86,784,0.92,950,0.55,329,8.16,413,13.43,910,9.46,475,
A036530,S&T홀딩스,지주사,지주사,69.33,469,6.1,1322,-3.3,1631,-3.9,1654,12.2,1272,-2.3,1507,1.35,49,1.65,41,0.17,117,0.29,59,6.67,299,0,1661,1.96,26,
A052900,KMH하이텍,반도체 관련장비 및 부품,반도체 부품,69.31,470,-5.4,2138,30.8,296,39.8,435,72.3,378,53.3,470,14.26,959,-12.36,1319,1.15,1089,1.17,948,10.34,538,7.68,547,10.33,524,
A001680,대상,식음료,식료품,69.29,471,2.3,1690,-12.3,1972,-0.8,1530,24.6,966,4.9,1175,5.65,475,6.97,381,0.27,267,0.76,574,5.63,223,4.63,237,4.64,158,
A025820,이구산업,철강 및 비철강,구리,69.28,472,17,508,15.9,608,19.3,773,25.1,953,16.7,927,9.37,717,9.37,484,0.31,318,0.6,393,19.13,850,0,1661,-67.67,1458,
A000860,강남제비스코,건설 및 건축자재,페인트,69.27,473,17.8,466,22,433,17.1,827,8,1383,-6,1596,10.39,774,-16.78,1319,0.37,393,0.23,24,6.27,275,9.65,703,-81.67,1458,
A166090,하나머티리얼즈,반도체 관련장비 및 부품,반도체 부품,69.26,474,14.9,612,6.9,935,33.5,517,46.2,608,55.3,455,8.1,642,8.09,435,2.69,1602,3.14,1732,13.82,695,13.6,917,10.14,505,
A002840,미원상사,화학,계면활성제,69.24,475,7.4,1181,11.1,789,50.4,340,90.2,276,86.8,289,10.61,784,-71.49,1319,1.82,1381,2.06,1440,10.14,528,9.62,701,12.34,632,
A036010,아비코전자,IT 장비 및 소재,IT 소재 및 부품,69.22,476,15.2,590,36.2,241,61.8,263,25.7,933,51.6,487,16.28,1031,30.18,947,0.79,838,0.98,786,29.82,1038,16.92,1052,-52.42,1458,
A126640,화신정공,자동차 및 관련부품,차체부품,69.21,477,4.1,1525,-0.4,1475,9.9,1027,17.4,1147,8.5,1089,10.89,804,10.84,551,0.19,136,0.57,362,15.33,749,5.59,338,9.32,463,
A054940,엑사이엔씨,반도체 관련장비 및 부품,클린룸,69.21,477,11.9,804,2.6,1169,7.3,1110,21.6,1036,-7.7,1649,3.22,232,3.4,133,0.21,170,0.97,774,-14.47,1460,6.62,454,13.18,675,
A053280,예스24,유통,전자상거래,69.17,479,24.2,282,74.9,74,197.8,30,198.3,76,104.4,223,31.48,1288,182.33,1251,0.47,509,4.72,1923,-57.36,1460,20.33,1138,390.71,1422,
A002680,한탑,식음료,식료품,69.11,480,75.5,29,83.7,59,90.6,146,78.6,332,77.7,332,94.51,1491,-395.5,1319,0.97,982,1.47,1122,15.88,760,0,1661,-9.09,1458,
A043650,국순당,식음료,음료,69.11,482,16.2,542,6.2,970,21.5,723,23,1006,51.4,488,20.81,1134,-44.45,1319,0.78,830,0.43,190,5.22,197,19.36,1113,42.33,1180,
A069960,현대백화점,유통,백화점,69.11,480,19.8,396,25.5,363,7.3,1110,1.3,1568,-13.5,1782,8.16,649,-9.05,1319,0.74,791,0.39,138,14.6,719,5.94,379,9.57,477,
A036190,금화피에스시,유틸리티,전력,69.09,483,1.8,1731,6.6,951,1.3,1292,15.3,1200,-1.7,1486,3.81,287,4,180,0.7,751,0.67,469,48.18,1198,0.63,16,4.34,136,
A078890,가온미디어,가정용품,셋톱박스,69.07,484,8.5,1079,6.8,941,-0.8,1530,0.3,1594,-21.5,1977,4.21,335,4.97,254,0.2,153,0.58,369,10.07,525,8.5,619,7.11,327,
A014440,영보화학,건설 및 건축자재,건축자재,69.02,485,10.4,907,-3.5,1643,36.1,483,26.1,916,11.9,1020,9.71,739,110.43,1206,0.72,777,0.53,301,11.43,598,4.91,268,18.4,856,
A069260,휴켐스,화학,기타 화학,69.01,486,6.3,1303,37.6,226,37.2,471,33.8,782,12.7,1003,10.79,795,17.62,776,1.65,1308,1.49,1133,18.81,838,6.46,439,12.52,643,
A025550,한국선재,철강 및 비철강,선재(와이어),68.98,487,7.9,1138,15.7,612,6.8,1126,26.6,906,5.6,1162,6.02,500,8.84,469,0.43,468,0.88,688,16.52,778,18.69,1101,15.74,777,
A204210,모두투어리츠,일반서비스,부동산,68.96,488,11,861,12.2,740,13.9,915,8.3,1371,-3.8,1538,3,208,2.98,112,2.87,1632,0.55,329,18.89,840,16.34,1032,4.55,151,
A078930,GS,지주사,지주사,68.95,489,6.2,1313,4.2,1067,-12.9,1933,-14.1,2040,-27.4,2062,2.21,115,3.92,173,0.2,153,0.38,126,3.48,95,8.28,599,2.9,56,
A080220,제주반도체,반도체 관련장비 및 부품,반도체 설계,68.95,490,7.7,1158,24,395,17.4,816,25.5,940,3.7,1205,4.03,319,4.68,232,0.69,737,1.5,1140,-9.33,1460,9.45,694,12.38,637,
A001040,CJ,지주사,지주사,68.94,491,4.1,1525,-5.3,1720,-13.6,1951,-0.4,1723,-15.7,1845,0.65,11,1.09,21,0.07,13,0.48,244,9.13,472,3.88,190,1.62,20,
A137950,제이씨케미칼,석유 및 가스,석유판매,68.92,492,28.9,204,36.7,235,25,642,41.4,667,39.4,604,73.8,1466,-10.18,1319,0.63,682,1.62,1212,-40,1460,10.48,758,9.86,490,
A092220,KEC,반도체 관련장비 및 부품,반도체 부품,68.9,493,36.8,127,91,48,220.1,24,209.3,66,182.6,92,21.03,1143,86.73,1174,1.69,1323,1.55,1168,-87.87,1460,0,1661,-35.66,1458,
A281820,케이씨텍,반도체 관련장비 및 부품,반도체장비,68.86,494,9.9,951,15.7,612,15.4,879,29.5,852,36,633,9.51,722,9.51,489,1.75,1356,1.73,1278,24.52,952,7.71,550,9.66,480,
A023000,삼원강재,자동차 및 관련부품,스프링,68.78,495,7.3,1191,15.2,637,9.2,1054,-8.1,1924,-17.3,1884,7.15,586,7.16,394,0.43,468,0.47,233,10.24,533,5.12,291,11.39,579,
A001800,오리온홀딩스,지주사,지주사,68.77,496,6.5,1279,0.8,1292,-8.7,1812,-7.7,1916,-23.7,2022,2.25,124,4.43,210,0.37,393,0.42,177,9.05,464,1.45,44,2.57,43,
A212560,네오오토,자동차 및 관련부품,변속기부품,68.74,498,6.2,1313,4.1,1074,7.9,1092,12.4,1265,-1.2,1469,3.36,243,3.4,133,0.3,306,0.43,190,5.35,208,144.71,1586,20.59,906,
A293580,나우IB,금융,기타 금융,68.74,497,19.8,396,19.1,518,28.4,586,61.6,464,59.9,424,-19.64,1606,-19.42,1319,5.18,1870,0.95,747,9.65,499,13.47,911,9.08,444,
A053610,프로텍,반도체 관련장비 및 부품,반도체장비,68.73,499,13.5,699,2.5,1178,113.4,101,88.2,287,110.4,205,10.73,791,11.3,571,4.26,1804,1.66,1236,19.02,846,16.79,1047,26.66,1021,
A023910,대한약품,제약 및 바이오,제약,68.69,500,7,1230,5.2,1023,2.1,1257,0.6,1588,1.6,1268,4.65,385,4.65,228,1.1,1064,1.08,874,7.21,338,5.19,295,6.01,246,
A034310,NICE,지주사,지주사,68.67,501,7.8,1145,5.7,999,-2.5,1595,-6.7,1887,-3.5,1535,2.59,161,7.13,391,0.36,380,1.04,838,12.61,647,1.87,54,4.8,169,
A009150,삼성전기,IT 장비 및 소재,스마트폰 부품,68.61,502,16.9,511,21.4,449,18.6,787,19.1,1101,39.3,605,7.15,586,37.93,1014,1.43,1226,2.07,1444,12.65,651,8.65,632,16.61,810,
A238490,힘스,디스플레이 장비 및 부품,디스플레이 부품,68.6,503,2.4,1680,4.4,1056,29.3,577,31.9,820,7,1122,4.58,379,4.67,231,1.32,1185,2.32,1520,12.64,650,6.11,398,5.31,201,
A011930,신성이엔지,에너지,태양광,68.59,504,35.3,139,171.5,9,186.9,39,367.6,18,330.8,26,34.68,1324,45.34,1061,1.67,1316,5.77,2000,69.64,1260,40.84,1392,56.75,1238,
A120240,대정화금,화학,기타 화학,68.59,504,65.9,44,19.3,509,177.6,43,179.5,89,179.5,101,31.37,1286,31.64,958,3.7,1743,2.37,1542,44.76,1171,28.21,1285,29.11,1051,
A089790,제이티,반도체 관련장비 및 부품,반도체장비,68.58,506,27.7,221,58.3,118,51.1,333,49.1,579,108.2,210,16.25,1030,16.84,756,2.42,1554,3.41,1782,141.07,1362,13.72,922,22.82,958,
A005800,신영와코루,섬유 및 의류,의류,68.55,507,6.4,1290,11.7,765,20.7,742,19.8,1088,6.4,1139,60.51,1435,65.13,1128,0.54,582,0.31,75,10.51,547,3.07,128,20.79,914,
A076080,웰크론한텍,기계,플랜트설비,68.54,508,1.2,1776,19.4,506,45.6,380,56.2,502,37.1,625,11.16,820,32.25,966,0.22,192,0.81,615,12.85,655,0,1661,36.86,1137,
A183300,코미코,반도체 관련장비 및 부품,반도체장비,68.5,509,17.7,473,9.7,836,24.9,645,45.8,617,77.2,338,10.13,756,86.92,1175,2.19,1492,3.03,1712,10.43,542,9.07,662,11.62,596,
A089030,테크윙,반도체 관련장비 및 부품,반도체장비,68.48,510,17.5,483,0.2,1334,13.6,924,31.1,835,99.5,235,13.76,947,15.87,730,1.7,1331,2.03,1426,8.12,408,10.4,753,9.06,443,
A143210,핸즈코퍼레이션,자동차 및 관련부품,기타 자동차부품,68.46,511,32.7,163,8.2,880,35.8,487,31.3,832,29,724,-14.56,1606,-2.54,1319,0.33,342,0.59,379,-65.09,1460,10.53,762,20.25,899,
A005430,한국공항,운송 및 물류,운송인프라,68.44,512,29.5,196,24.9,374,-5.3,1709,8.3,1371,-6.8,1627,4.4,359,7.24,396,0.34,352,0.43,190,-3.77,1460,5.88,367,-3.26,1458,
A005680,삼영전자,IT 장비 및 소재,콘덴서,68.42,513,19.7,400,12.1,746,13.2,933,21.3,1043,4.7,1178,8.01,633,8.69,463,0.95,967,0.38,126,14.29,712,0,1661,25.59,1003,
A024940,PN풍년,가정용품,주방용품,68.4,514,4.9,1443,-14.2,2016,82.5,168,101.5,230,78,331,4.36,355,4.35,206,0.7,751,1.02,811,17.22,812,156.82,1592,39.6,1154,
A219130,타이거일렉,반도체 관련장비 및 부품,반도체장비,68.36,515,-3.9,2110,15.4,626,113.9,99,132.2,147,187.3,90,12.36,880,12.33,606,2.17,1488,2.04,1430,13.31,670,18.17,1083,12.67,651,
A004020,현대제철,철강 및 비철강,제철,68.35,516,10,935,23.3,406,29.5,574,33.6,786,-0.2,1437,5.47,460,-12.61,1319,0.23,208,0.26,36,-23.43,1460,11.02,802,-32.59,1458,
A001470,삼부토건,건설 및 건축자재,중견건설사,68.34,518,31.7,169,345.1,1,561.1,2,632,7,622.5,7,-21.89,1606,-21.84,1319,1.82,1381,3.17,1737,16.29,770,98.31,1539,118.22,1347,
A065690,파커스,전기 및 전자기기,LED,68.34,517,7,1230,4.3,1063,26.6,615,19,1104,4,1197,4.68,391,7.76,423,0.49,525,0.51,273,17.66,818,10.85,786,-19.95,1458,
A005830,DB손해보험,금융,손해보험,68.33,519,-0.6,2004,-3.2,1626,-7.9,1786,5.8,1435,-22.8,2005,1.49,53,1.5,31,0.21,170,0.48,244,5.49,212,3.73,178,4.39,142,
A005440,현대그린푸드,식음료,식료품,68.32,520,15.5,575,13.8,678,-3.6,1640,-3.2,1797,-29.1,2083,4.16,332,56.99,1106,0.25,238,0.48,244,9.8,508,3.82,187,10.09,500,
A101530,해태제과식품,식음료,식료품,68.28,522,-1.6,2050,-11.5,1943,3.4,1213,23.3,995,9.7,1063,2.65,173,3.99,177,0.34,352,0.9,704,6.06,254,7.43,528,9.13,447,
A092870,엑시콘,반도체 관련장비 및 부품,반도체장비,68.28,521,15.6,570,26.2,349,53.7,317,102.7,226,146.6,126,61.6,1437,166.56,1245,2.4,1543,1.74,1291,4.9,177,0,1661,22.71,956,
A085670,뉴프렉스,IT 장비 및 소재,PCB,68.27,523,15.4,580,29.4,310,47.2,362,24.6,966,18,901,10.22,764,-15.55,1319,0.37,393,1.17,948,5.76,239,0,1661,-4.89,1458,
A104460,디와이피엔에프,기계,기계,68.26,524,-2.7,2077,-13.3,1998,60.1,278,37.1,731,49.1,512,7.13,585,10.18,517,0.89,921,2.11,1461,7.14,334,4.9,266,5.69,223,
A012450,한화에어로스페이스,기계,방위산업,68.26,525,5.2,1409,-1.5,1538,3.7,1204,-4.9,1844,-30.6,2100,2,96,2.79,99,0.26,253,0.53,301,8.13,410,5.71,350,6.59,301,
A170790,파이오링크,통신,통신장비,68.25,526,14.4,637,12.2,740,12.2,960,83.5,310,96.5,252,14.05,953,14,665,2.63,1591,2.43,1567,8.9,459,14,936,17.38,836,
A120030,조선선재,철강 및 비철강,봉형강,68.25,526,12.3,776,11.3,781,-12.1,1912,38.9,699,35,646,7.84,625,7.84,425,2.27,1510,1.22,977,22.48,921,3.25,141,9.96,493,
A068790,DMS,디스플레이 장비 및 부품,디스플레이 장비,68.22,530,-3.3,2092,-1.3,1527,55.6,307,95,252,67.1,382,15.02,990,15.41,715,0.89,921,1.08,874,22.64,924,8.63,629,6.6,302,
A051490,나라엠앤디,기계,금형,68.22,528,10.9,870,71.3,81,95.7,132,157.9,103,221.9,64,25.91,1214,-24.86,1319,1.04,1024,2.13,1467,129.85,1349,15.9,1011,72.5,1279,
A290120,대유에이피,자동차 및 관련부품,기타 자동차부품,68.22,529,10.5,899,16.4,590,5.7,1155,-2.8,1784,-1.4,1477,10.16,760,15.47,718,0.5,538,1.58,1183,5.15,189,5.97,383,5.89,238,
A014530,극동유화,석유 및 가스,윤활유,68.18,531,5.5,1382,11.9,753,5.8,1152,5.9,1430,2.2,1247,6.5,535,29.59,944,0.18,126,0.7,513,16.45,776,9.19,672,8.25,395,
A028150,GS홈쇼핑,유통,홈쇼핑,68.12,533,-1.2,2034,15.3,631,12.2,960,8.4,1367,-8.7,1675,6.91,566,15.34,713,0.71,763,0.74,556,6.93,316,2.27,75,6.39,283,
A088130,동아엘텍,디스플레이 장비 및 부품,디스플레이 장비,68.12,532,3.9,1547,-1.9,1563,11,993,9.3,1343,7.3,1114,2.02,98,2.3,67,0.56,605,0.51,273,8.4,430,0,1661,5.99,244,
A009780,엠에스씨,식음료,식료품,68.11,534,6.9,1240,10.3,819,7.3,1110,30.9,838,-1,1463,10.17,761,284.67,1279,0.57,614,0.88,688,9.56,493,5.9,371,6.19,266,
A006370,대구백화점,유통,백화점,68.08,536,25.3,262,75.3,72,126.9,81,83.7,309,88.7,277,-6.56,1606,-6.52,1319,1.36,1201,0.48,244,-8.95,1460,0,1661,-7.23,1458,
A019210,와이지-원,기계,공작기계,68.08,535,24.8,268,48.8,160,10.6,1002,10.8,1303,-13.3,1773,2.61,167,5.65,299,0.51,550,0.63,419,-4.65,1460,18.39,1089,-8.57,1458,
A037230,한국팩키지,종이 및 용기,용기 및 포장재,68.02,537,73.1,33,60.8,111,145.9,61,149.9,118,145.9,128,26.41,1224,26.34,913,2.65,1596,3.76,1835,44.94,1175,68.78,1498,69.45,1273,
A001620,케이비아이동국실업,자동차 및 관련부품,차량 내장재,67.99,538,20.1,388,24.2,391,21.5,723,18.2,1123,1.9,1257,-1.39,1606,-0.98,1319,0.09,29,0.3,67,8.88,457,20.99,1154,-2.04,1458,
A004090,한국석유,건설 및 건축자재,건축자재,67.98,539,5.2,1409,-6.4,1768,-5.1,1701,-3.7,1810,-10.3,1714,1.68,76,1.86,51,0.13,74,0.43,190,7.85,388,8.54,621,4.85,172,
A001450,현대해상,금융,손해보험,67.95,540,-4.3,2115,-2.2,1579,-13.7,1954,3.7,1506,-20.2,1950,1.06,35,1.09,21,0.14,83,0.4,151,3.56,100,3.84,189,6.55,298,
A008420,문배철강,철강 및 비철강,강판,67.93,541,9.3,1007,2.7,1161,-7.5,1770,23.9,983,5.1,1171,4.57,378,4.58,221,0.36,380,0.49,255,5.62,222,45.95,1425,26.38,1014,
A005250,녹십자홀딩스,지주사,지주사,67.92,542,58.2,64,32.1,278,55.1,310,98.9,241,63.7,399,-64.14,1606,-11.64,1319,1.02,1010,2.11,1461,17.89,825,29.61,1298,42.28,1179,
A000720,현대건설,건설 및 건축자재,대형건설사,67.86,544,9.6,981,2.8,1156,-9.7,1844,-2.7,1780,-17.6,1891,5.32,446,6.15,333,0.22,192,0.55,329,16.78,793,0.71,19,5.95,241,
A093380,풍강,자동차 및 관련부품,기타 자동차부품,67.86,543,8.4,1088,20.4,476,14.2,906,18.1,1126,11.6,1026,5.02,415,7.68,421,0.53,573,0.56,347,-9.71,1460,10.3,748,338,1418,
A010780,아이에스동서,건설 및 건축자재,중견건설사,67.85,545,17.5,483,-2.7,1603,31.7,544,66.9,416,34.8,651,-42.51,1606,-35.66,1319,1.07,1046,1.18,954,4.15,138,12.59,877,7.74,369,
A038870,에코바이오,유틸리티,전력,67.85,546,14.2,655,24.8,376,41.7,414,145.1,123,116.6,179,13.76,947,14.06,667,7.03,1946,1.72,1273,7.81,385,143.51,1584,-129.67,1458,
A095910,에스에너지,에너지,태양광,67.81,548,5.9,1343,21.5,443,50.7,339,150.9,117,112.6,194,-6.64,1606,-5.51,1319,0.45,489,1.12,908,-10.89,1460,11.44,825,23.82,974,
A036800,나이스정보통신,IT서비스,전자결제,67.81,547,15.1,599,2.3,1195,-4.5,1677,-15.1,2051,-15.4,1835,3.53,263,3.87,168,0.53,573,1.08,874,7.89,390,0.56,15,7.83,376,
A017890,한국알콜,화학,기타 화학,67.8,549,5.1,1420,-18,2080,-12.1,1912,20.7,1060,88.2,282,8.06,637,10.38,528,0.81,850,0.78,589,5.26,201,4.82,256,5.39,205,
A071320,지역난방공사,유틸리티,전력,67.78,550,10.1,930,17.3,558,3.2,1221,5.1,1456,-16.9,1878,1.58,65,-4.21,1319,0.21,170,0.3,67,-5.12,1460,10.38,752,4.51,147,
A000240,한국테크놀로지그룹,자동차 및 관련부품,타이어,67.77,551,8.7,1063,1.9,1225,44.6,387,30.1,844,12.1,1016,18.63,1091,-627.88,1319,1.88,1399,0.45,213,6.14,261,8.05,581,12.24,627,
A051360,토비스,레저산업,카지노,67.74,552,24,287,18.1,539,3,1231,-3.3,1801,-13.8,1791,6.06,505,14.64,684,0.39,417,0.66,458,30.28,1047,5.46,320,22.62,954,
A256150,한독크린텍,가정용품,가전제품,67.73,553,16,553,10.9,802,15.5,870,50.6,562,57.2,443,16.49,1038,16.24,738,1.72,1344,3.02,1711,9.61,495,12.9,894,11.49,586,
A131220,대한과학,의료기기 및 용품,의료기기,67.72,554,106,8,197.8,4,229.6,23,245.6,47,318.2,29,43.63,1373,53.21,1095,2.57,1578,5.38,1981,142.34,1363,32.55,1327,48.22,1211,
A036090,위지트,디스플레이 장비 및 부품,디스플레이 부품,67.66,555,90.8,17,79.8,63,86.4,153,82.5,314,49,513,52.45,1412,121.78,1217,3.59,1725,1.41,1085,8.5,435,0,1661,-78.29,1458,
A046140,SBS콘텐츠허브,미디어 및 엔터,미디어,67.66,556,7.9,1138,1.2,1271,5.1,1174,24.5,969,10.9,1039,6.41,529,6.43,348,0.85,883,0.84,648,8.06,402,6.3,423,53.83,1230,
A010120,LS ELECTRIC,기계,전력기자재,67.65,557,11.1,850,-2.7,1603,13.4,928,25.4,943,8.3,1095,6.87,562,9.37,484,0.66,706,1.19,960,21.99,914,6.31,426,11.46,584,
A012330,현대모비스,자동차 및 관련부품,기타 자동차부품,67.61,558,8.2,1109,3.6,1103,11.4,979,17.9,1134,-1,1463,8.13,644,13.15,639,0.64,693,0.7,513,14.88,729,6.01,388,13.16,673,
A085810,알티캐스트,IT서비스,소프트웨어,67.58,559,12.3,776,20.1,484,80.6,177,78,339,22.1,827,23.15,1183,33.31,975,1.02,1010,0.8,604,12.02,620,248.74,1620,-10.66,1458,
A002410,범양건영,건설 및 건축자재,중견건설사,67.55,560,10.3,913,-16,2047,61.7,266,74.3,361,167.5,108,16.18,1027,67.32,1135,0.69,737,1.71,1267,15.49,754,9.88,722,14.87,745,
A083500,에프엔에스테크,디스플레이 장비 및 부품,디스플레이 장비,67.54,561,8.2,1109,15.3,631,-7.3,1765,-20.6,2105,47.7,525,3.64,274,3.65,152,1.2,1124,1.4,1077,2.95,69,13.87,928,7.04,324,
A117580,대성에너지,유틸리티,도시가스,67.51,563,2.5,1675,8,884,12,965,16.3,1178,-0.2,1437,3.89,300,-31.77,1319,0.19,136,0.49,255,-6.07,1460,4.12,206,6.3,277,
A088790,진도,섬유 및 의류,의류,67.51,562,5.1,1420,55.9,125,51.7,329,37.2,729,9.6,1066,4.58,379,4.65,228,0.89,921,0.54,314,-26.41,1460,0,1661,-25.05,1458,
A024720,한국콜마홀딩스,지주사,지주사,67.43,564,4.3,1505,-14.6,2024,4,1201,10.9,1296,11.9,1020,4.33,350,9.19,479,0.63,682,0.92,721,10.31,537,4.19,213,3.37,82,
A018470,조일알미늄,철강 및 비철강,알루미늄,67.38,565,21.8,333,33.1,269,39,443,27.5,894,10.4,1048,27.39,1237,27.24,922,0.18,126,0.51,273,-16.67,1460,0,1661,-6.65,1458,
A100130,동국S&C,에너지,풍력,67.37,566,9.2,1024,18.6,527,93.5,139,226.2,55,261.5,47,26.79,1232,29.27,938,1.66,1312,1.81,1317,-82.95,1460,15.45,994,31.6,1080,
A041190,우리기술투자,금융,기타 금융,67.34,567,63.3,51,115.5,26,79.8,180,134.1,142,104.9,222,175.8,1540,182.12,1250,14.55,2054,5.28,1972,9.54,488,39.78,1387,16.86,822,
A095720,웅진씽크빅,일반서비스,교육,67.33,568,6.6,1272,0.6,1311,12.5,949,14.7,1210,1,1286,10.57,780,10.8,547,0.49,525,0.83,637,8.49,434,5.82,358,17.2,828,
A063160,종근당바이오,제약 및 바이오,원료의약품,67.32,569,63.6,50,15.7,612,100.9,119,102.5,227,126.7,161,33.86,1316,-6.36,1319,2.59,1582,2.14,1472,64.84,1249,15.83,1009,26.68,1022,
A003690,코리안리,금융,재보험,67.31,570,4.4,1495,4,1086,0.3,1333,-5.8,1869,-7.6,1646,12.66,903,13.64,653,0.11,50,0.38,126,12.01,619,4.02,196,4.71,164,
A083450,GST,반도체 관련장비 및 부품,반도체장비,67.28,571,12.7,740,-0.9,1502,-20.1,2096,14.2,1220,94.9,258,5.7,479,5.94,323,0.87,904,1.44,1102,29.65,1034,3.61,169,7,321,
A008560,메리츠증권,금융,증권,67.26,573,12.2,781,12.2,740,2.2,1250,7.4,1397,-13.5,1782,-0.69,1606,-0.69,1319,0.57,614,0.56,347,3.88,116,3.16,135,3.11,67,
A263810,상신전자,IT 장비 및 소재,전자부품,67.26,572,20.3,382,16.7,578,22.4,700,28.1,876,11.8,1024,17.1,1058,24.39,893,0.68,731,1.54,1165,14.97,732,17.46,1065,22.44,949,
A047560,이스트소프트,IT서비스,소프트웨어,67.26,573,18.5,430,36.4,238,43.7,399,55.6,508,25.7,763,13.35,932,16.38,741,1.23,1142,2.66,1629,27.42,1004,25.28,1251,35.19,1117,
A143540,영우디에스피,디스플레이 장비 및 부품,디스플레이 장비,67.25,576,10.7,884,0.6,1311,-9.5,1836,-8.8,1936,-6.7,1620,2.81,190,2.85,101,0.51,550,1.68,1249,3.96,123,4.88,263,3.56,94,
A068930,디지털대성,일반서비스,교육,67.25,575,24.7,269,26.2,349,17.6,808,1,1575,2.5,1240,14.57,966,16.05,735,1.37,1205,2.22,1490,8.86,455,6.49,441,12.19,623,
A095500,미래나노텍,디스플레이 장비 및 부품,디스플레이 부품,67.22,577,19.6,406,9.6,839,14.3,903,13.5,1233,-6.5,1615,-29.88,1606,-5.65,1319,0.21,170,0.46,222,2.6,51,13.96,934,18.61,865,
A100250,진양홀딩스,지주사,지주사,67.18,578,3.9,1547,13.2,696,15,889,18.9,1107,6.5,1134,6.74,555,16.98,762,0.73,782,0.48,244,-24.81,1460,6.17,405,11.57,592,
A037440,희림,건설 및 건축자재,중견건설사,67.16,579,4.2,1513,4.2,1067,0.1,1348,-5,1846,-7.6,1646,1.76,82,1.83,50,0.28,274,1.02,811,19.11,849,5.98,384,6.74,309,
A012030,DB,IT서비스,시스템서비스,67.16,579,7.9,1138,4.1,1074,-2.5,1595,1.5,1563,-3.9,1540,6.03,502,6.14,332,0.56,605,0.65,443,16.76,792,5.53,329,6.19,266,
A032190,다우데이타,IT서비스,소프트웨어,67.13,581,16.2,542,-11.9,1962,-6,1733,67.3,412,55.1,456,-0.19,1606,-0.19,1319,0.07,13,0.65,443,2.39,37,0,1661,0.55,1,
A058630,엠게임,미디어 및 엔터,게임,67.11,582,21,352,-7.3,1816,31.2,551,38.2,709,63.6,400,8.7,680,9.06,477,2.56,1576,2.42,1563,26.6,989,7.64,544,10.54,533,
A177830,파버나인,철강 및 비철강,알루미늄,67.1,583,3.5,1589,-7.2,1813,15.6,867,49.6,571,8.2,1097,4.08,325,4.56,218,0.62,672,1.36,1058,6.31,276,14.75,969,14.58,738,
A005380,현대차,자동차 및 관련부품,완성차,67.09,585,10.3,913,3.1,1135,63.5,255,59.9,476,49.4,509,-61,1606,-8.37,1319,0.38,406,0.56,347,-28.85,1460,14.42,950,16.83,820,
A123410,코리아에프티,자동차 및 관련부품,기타 자동차부품,67.09,584,4.8,1456,22.4,420,4.8,1181,11.2,1293,1.6,1268,6.93,568,15.65,725,0.21,170,0.7,513,32.25,1069,6.51,444,32.56,1088,
A051910,LG화학,화학,종합 화학,67.08,586,30.9,176,7.8,897,84.3,161,112.2,199,158.9,117,14.67,971,-23.57,1319,1.89,1400,3.16,1736,27.56,1007,19.93,1127,32.66,1089,
A119650,KC코트렐,기계,플랜트설비,67.07,587,36.7,129,93.9,47,65.6,244,100.4,236,52.1,481,-13.45,1606,-12.42,1319,0.36,380,2.33,1528,-6.46,1460,31.22,1314,-50.14,1458,
A015760,한국전력,유틸리티,전력,67.03,588,7.5,1172,1.4,1256,-3.8,1647,2.4,1544,-24.1,2028,1.32,48,-3.42,1319,0.23,208,0.2,14,2.78,59,7.12,492,8.8,424,
A102710,이엔에프테크놀로지,반도체 관련장비 및 부품,반도체 부품,67.01,589,4.1,1525,-8.4,1853,33.3,518,64.6,438,76,346,9.1,701,63.3,1121,1.17,1101,1.88,1354,9.2,473,6.27,419,7.71,368,
A024800,유성티엔에스,철강 및 비철강,강판,67,590,12,801,16,604,8.8,1066,12.5,1262,-6.8,1627,-23.73,1606,-17.32,1319,0.23,208,0.32,82,2.11,29,11.46,828,16.14,787,
A038060,루멘스,전기 및 전자기기,LED,66.98,591,60.6,61,60.1,113,37.3,469,24.4,970,19.9,863,-23.62,1606,-8.38,1319,0.4,430,1.01,806,9.09,468,0,1661,-5.06,1458,
