코드 번호,회사명,선택여부,업종 (대),업종 (소),종합점수,종합랭킹,매출액 20년3Q(E) YOY,높은순서  (비중 5),매출액 20년3Q(E) QOQ,높은순서  (비중 5),영업이익 20년3Q(E) YOY,높은순서  (비중 5),영업이익 20년3Q(E) QOQ,높은순서  (비중 5),순이익 20년3Q(E) YOY,높은순서  (비중 5),순이익 20년3Q(E) QOQ,높은순서  (비중 5)
A011420,갤럭시아에스엠,,미디어 및 엔터,매니지먼트,53.5,44,-34.4,72,-3.6,54,54.4,38,144.5,30,66.7,47,1149.2,3
A213090,미래테크놀로지,,IT서비스,보안서비스,51.42,45,-0.5,42,-5.2,55,215.6,21,-19.5,56,725.6,10,-79.1,68
A032960,동일기연,,IT 장비 및 소재,IT 소재 및 부품,51.42,45,1.1,38,16,30,-2309.5,75,-191,70,176,33,622,6
A071090,하이스틸,,철강 및 비철강,강관,50.9,47,-14.2,60,-21.1,70,196.3,22,161.9,27,172.5,34,123.1,41
A093640,다믈멀티미디어,,반도체 관련장비 및 부품,반도체 설계,49.61,48,-23.6,67,28.6,23,-36.4,57,106.8,37,115.7,41,150.6,34
A051390,YW,,유통,유통,49.35,49,-6.2,47,6.2,44,120.1,30,5.5,48,152.8,37,-8.4,54
A032280,삼일,,운송 및 물류,육상운송,48.83,50,-17.4,61,-5.7,56,-89.1,68,107.4,36,1529,5,144.3,36
A140520,대창스틸,,철강 및 비철강,강판,48.31,51,-9.9,53,21.6,27,97.2,33,127.9,32,-99.7,75,100.5,44
A001770,신화실업,,종이 및 용기,용기 및 포장재,48.05,52,4.5,33,2.6,46,-114.9,69,87.5,39,-13.5,57,231.1,21
A204210,모두투어리츠,,일반서비스,부동산,47.53,53,6.4,32,9.9,36,19.1,43,0.9,52,53.4,48,-14.7,56
A092300,현우산업,,IT 장비 및 소재,PCB,47.27,54,-11.1,56,33.4,20,-82.4,66,336.3,15,25.7,50,-49.3,61
A065440,이루온,,IT서비스,시스템서비스,45.97,55,-46.7,74,9.2,38,-67.6,63,196.8,24,-38.7,59,288.8,15
A008830,대동기어,,자동차 및 관련부품,동력전달장치,45.71,56,18.4,14,-15.6,65,244.3,20,-70.4,64,117.9,40,-88.8,71
A004920,씨아이테크,,IT서비스,시스템서비스,44.41,57,2.9,36,-18.5,67,-267.3,73,-5709.1,75,1567.8,4,208.6,24
A010640,진양폴리,,화학,폴리우레탄,41.55,58,10.8,21,6.3,43,-19.1,48,-0.5,53,-90.3,72,2.2,53
A060380,동양에스텍,,철강 및 비철강,강판,41.29,59,-30.8,70,-18.4,66,-22.4,50,1.3,51,684.9,11,108.5,43
A126640,화신정공,,자동차 및 관련부품,차체부품,40.51,60,15.5,16,13,31,-46.9,58,-63.6,63,-45.7,62,-63.5,64
A297570,알로이스,,전기 및 전자기기,전자기기,40.51,60,9,25,-26.2,72,76,36,-50.9,59,105.7,44,-44.5,58
A046310,백금T&A,,자동차 및 관련부품,전장부품,38.96,62,-10.8,55,7.3,42,-74.1,65,51.4,43,-69.3,67,169.8,28
A046970,우리로,,통신,통신장비,38.7,63,-13.4,59,0.4,51,-279.8,74,-255.4,72,315,20,204.9,25
A038620,위즈코프,,석유 및 가스,석유판매,37.4,64,-28.2,69,-8,58,-25.4,51,-57.1,61,429.9,16,14.3,51
A098120,마이크로컨텍솔,,반도체 관련장비 및 부품,반도체 부품,36.62,65,-7.8,49,-14.3,62,13.3,44,1.7,50,8.2,52,9.7,52
A045300,성우테크론,,반도체 관련장비 및 부품,반도체장비,36.1,66,7.5,28,2.1,47,-64,61,-79.4,66,76.1,46,-62.3,63
A007120,미래아이앤지,,IT서비스,시스템서비스,28.05,67,-31.4,71,-20.3,68,-28,55,51.4,43,184.5,30,-98.2,75
A079000,와토스코리아,,건설 및 건축자재,위생도기,28.05,67,10.3,22,7.4,41,-213.5,71,-2163.6,74,-75.5,68,-78.8,66
A072950,빛샘전자,,통신,통신장비,27.27,69,7.1,29,18.5,28,-231.2,72,-221.7,71,-95.9,73,-89.4,72
A084870,TBH글로벌,,섬유 및 의류,의류,24.67,70,-19.3,62,-31.7,73,-65.7,62,-286.8,73,107.8,43,122.6,42
A012620,원일특강,,철강 및 비철강,제강,24.15,71,-9.6,50,-7.5,57,-49.4,60,-23.3,57,-51.2,64,-80.4,69
A119500,포메탈,,자동차 및 관련부품,기타 자동차부품,21.03,72,-1.3,44,-14.2,61,-69.1,64,-78.6,65,-78.6,69,-78.8,66
A045340,토탈소프트,,운송 및 물류,운송인프라,20,73,-21.2,63,-23.4,71,-36,56,-38,58,-57.2,66,-46.1,59
A237750,피앤씨테크,,유틸리티,스마트그리드,12.2,74,-9.6,50,-34.1,74,-116,70,-124.8,69,-87,70,-85.1,70
A140910,에이리츠,,일반서비스,부동산,4.67,75,-55.4,75,-59.4,75,-85.8,67,-87.1,67,-96.5,74,-94.3,74
